A	B
1.838E-4	0.01228
1.835E-4	0.01228
1.821E-4	0.01225
1.822E-4	0.01228
1.81E-4	0.0123
1.803E-4	0.01231
1.801E-4	0.01234
1.791E-4	0.01229
1.783E-4	0.01227
1.777E-4	0.0123
1.773E-4	0.01235
1.76E-4	0.01231
1.759E-4	0.0123
1.753E-4	0.0123
1.742E-4	0.01231
1.734E-4	0.01233
1.731E-4	0.01238
1.721E-4	0.0124
1.716E-4	0.01237
1.706E-4	0.01231
1.702E-4	0.01231
1.693E-4	0.01232
1.69E-4	0.01234
1.678E-4	0.01239
1.675E-4	0.01235
1.659E-4	0.01235
1.661E-4	0.01238
1.658E-4	0.01239
1.645E-4	0.01243
1.639E-4	0.01246
1.629E-4	0.01243
1.622E-4	0.01243
1.62E-4	0.01246
1.615E-4	0.01243
1.608E-4	0.01241
1.597E-4	0.01231
1.591E-4	0.01232
1.582E-4	0.01239
1.58E-4	0.01235
1.574E-4	0.01233
1.566E-4	0.01233
1.567E-4	0.01229
1.549E-4	0.01227
1.544E-4	0.01234
1.536E-4	0.01236
1.532E-4	0.01235
1.516E-4	0.01229
1.519E-4	0.01227
1.508E-4	0.01229
1.502E-4	0.01227
1.498E-4	0.0123
1.485E-4	0.01231
1.482E-4	0.01234
1.471E-4	0.01233
1.468E-4	0.01234
1.458E-4	0.01237
1.453E-4	0.01232
1.441E-4	0.01226
1.441E-4	0.01229
1.433E-4	0.01224
1.422E-4	0.01223
1.416E-4	0.01225
1.412E-4	0.01223
1.403E-4	0.01224
1.402E-4	0.01224
1.389E-4	0.01222
1.384E-4	0.01223
1.378E-4	0.01227
1.369E-4	0.01224
1.355E-4	0.01216
1.358E-4	0.01214
1.349E-4	0.01219
1.34E-4	0.01213
1.338E-4	0.01217
1.327E-4	0.0122
1.323E-4	0.01222
1.314E-4	0.01218
1.306E-4	0.01213
1.301E-4	0.01205
1.293E-4	0.01205
1.282E-4	0.01207
1.28E-4	0.01207
1.278E-4	0.01207
1.26E-4	0.01204
1.258E-4	0.01193
1.254E-4	0.01187
1.241E-4	0.01193
1.241E-4	0.0119
1.225E-4	0.01182
1.218E-4	0.01185
1.21E-4	0.0119
1.21E-4	0.01182
1.203E-4	0.01182
1.196E-4	0.01181
1.182E-4	0.01183
1.174E-4	0.01185
1.173E-4	0.01185
1.159E-4	0.01188
1.158E-4	0.01187
1.149E-4	0.01185
1.141E-4	0.01192
1.139E-4	0.01195
1.13E-4	0.01197
1.124E-4	0.0121
1.116E-4	0.01218
1.114E-4	0.01228
1.1E-4	0.0124
1.099E-4	0.01247
1.096E-4	0.01255
1.083E-4	0.01258
1.08E-4	0.01272
1.073E-4	0.01281
1.064E-4	0.01286
1.057E-4	0.01298
1.053E-4	0.013
