A	B
1.836E-4	0.01224
1.828E-4	0.01223
1.822E-4	0.01224
1.815E-4	0.01224
1.806E-4	0.01227
1.807E-4	0.01227
1.799E-4	0.01221
1.785E-4	0.01226
1.782E-4	0.01225
1.775E-4	0.01231
1.771E-4	0.01237
1.759E-4	0.0124
1.754E-4	0.01239
1.741E-4	0.01234
1.743E-4	0.01229
1.734E-4	0.01231
1.724E-4	0.01238
1.721E-4	0.01235
1.707E-4	0.01226
1.711E-4	0.01233
1.698E-4	0.01233
1.686E-4	0.01235
1.69E-4	0.0123
1.678E-4	0.01227
1.668E-4	0.01237
1.662E-4	0.01231
1.661E-4	0.01226
1.651E-4	0.01229
1.644E-4	0.01233
1.637E-4	0.01231
1.626E-4	0.01229
1.622E-4	0.01232
1.615E-4	0.01236
1.607E-4	0.01228
1.605E-4	0.01223
1.595E-4	0.01224
1.59E-4	0.01228
1.583E-4	0.01226
1.574E-4	0.01233
1.563E-4	0.01232
1.562E-4	0.01224
1.554E-4	0.01227
1.551E-4	0.01226
1.543E-4	0.01223
1.528E-4	0.0123
1.528E-4	0.01221
1.517E-4	0.01222
1.512E-4	0.01224
1.505E-4	0.0122
1.499E-4	0.0122
1.491E-4	0.01222
1.482E-4	0.01224
1.479E-4	0.01224
1.468E-4	0.01227
1.465E-4	0.01227
1.453E-4	0.01225
1.447E-4	0.01225
1.447E-4	0.01222
1.435E-4	0.01217
1.428E-4	0.01215
1.423E-4	0.01222
1.416E-4	0.01222
1.407E-4	0.01216
1.403E-4	0.01214
1.398E-4	0.01208
1.383E-4	0.0121
1.38E-4	0.01209
1.375E-4	0.01207
1.365E-4	0.01207
1.359E-4	0.01203
1.351E-4	0.01207
1.346E-4	0.012
1.332E-4	0.01198
1.33E-4	0.012
1.321E-4	0.01204
1.317E-4	0.01199
1.307E-4	0.01195
1.302E-4	0.01192
1.298E-4	0.01194
1.283E-4	0.01192
1.282E-4	0.01192
1.274E-4	0.01197
1.266E-4	0.01192
1.255E-4	0.01188
1.253E-4	0.01181
1.245E-4	0.01177
1.238E-4	0.01176
1.228E-4	0.01178
1.218E-4	0.01179
1.221E-4	0.01172
1.202E-4	0.01166
1.2E-4	0.01165
1.194E-4	0.01167
1.185E-4	0.0117
1.183E-4	0.01178
1.171E-4	0.01178
1.161E-4	0.0118
1.153E-4	0.01193
1.152E-4	0.01196
1.138E-4	0.01211
1.136E-4	0.01221
1.132E-4	0.0123
1.12E-4	0.01242
1.113E-4	0.0125
1.103E-4	0.01258
1.098E-4	0.01267
1.09E-4	0.01267
1.091E-4	0.01276
1.084E-4	0.01292
1.072E-4	0.01306
1.072E-4	0.01306
1.062E-4	0.01314
1.057E-4	0.01314
1.047E-4	0.01326
1.041E-4	0.01341
1.035E-4	0.01335
1.031E-4	0.01328
1.023E-4	0.01336
1.018E-4	0.01335
1.013E-4	0.01342
9.99E-5	0.01343
9.99E-5	0.01342
9.93E-5	0.01337
9.86E-5	0.01341
9.82E-5	0.01345
9.76E-5	0.01349
9.66E-5	0.01357
9.6E-5	0.01346
9.57E-5	0.01346
9.45E-5	0.01357
9.41E-5	0.01353
9.35E-5	0.01351
9.26E-5	0.01349
9.22E-5	0.01343
9.17E-5	0.01332
9.08E-5	0.0133
9.06E-5	0.01325
8.97E-5	0.01324
8.89E-5	0.01333
8.84E-5	0.0133
8.75E-5	0.01324
8.71E-5	0.01324
8.67E-5	0.01322
8.6E-5	0.01318
8.5E-5	0.01321
8.49E-5	0.01311
8.36E-5	0.0131
8.3E-5	0.01305
8.26E-5	0.01298
8.24E-5	0.01294
8.17E-5	0.01288
8.06E-5	0.01282
8E-5	0.0128
7.92E-5	0.01281
7.88E-5	0.01271
7.77E-5	0.0127
7.78E-5	0.0127
7.65E-5	0.01261
7.59E-5	0.01258
7.56E-5	0.01253
7.46E-5	0.01247
7.39E-5	0.01245
7.29E-5	0.0124
7.23E-5	0.0124
7.16E-5	0.01238
7.13E-5	0.01231
7.02E-5	0.01224
6.96E-5	0.01229
6.93E-5	0.01223
6.8E-5	0.01214
6.76E-5	0.01209
6.68E-5	0.01207
6.58E-5	0.01207
6.59E-5	0.01206
6.48E-5	0.01203
6.42E-5	0.012
6.33E-5	0.01195
6.29E-5	0.01178
6.17E-5	0.01172
6.14E-5	0.01162
6.08E-5	0.01149
5.92E-5	0.01145
5.92E-5	0.01134
5.76E-5	0.01121
5.74E-5	0.01104
5.73E-5	0.01094
5.59E-5	0.0108
5.5E-5	0.01071
5.48E-5	0.01066
5.34E-5	0.01051
5.24E-5	0.01042
5.2E-5	0.01026
5.07E-5	0.01012
4.99E-5	0.01
4.99E-5	0.00992
4.81E-5	0.00976
4.74E-5	0.00959
4.63E-5	0.00943
4.57E-5	0.00928
4.43E-5	0.00924
4.42E-5	0.00914
4.27E-5	0.00904
4.16E-5	0.009
4.15E-5	0.00887
4E-5	0.00886
3.91E-5	0.00892
3.82E-5	0.00892
3.63E-5	0.00907
3.66E-5	0.00924
3.56E-5	0.00951
3.5E-5	0.00987
3.4E-5	0.01021
3.36E-5	0.01089
3.26E-5	0.01144
3.22E-5	0.01206
3.14E-5	0.0129
3.09E-5	0.01376
3.06E-5	0.01447
2.99E-5	0.01547
2.93E-5	0.01642
2.88E-5	0.01736
2.85E-5	0.01822
2.77E-5	0.01871
2.78E-5	0.01931
2.69E-5	0.01996
2.62E-5	0.01996
2.62E-5	0.02009
2.62E-5	0.0207
2.57E-5	0.02081
2.5E-5	0.0211
2.49E-5	0.02128
2.39E-5	0.02122
2.39E-5	0.02118
2.32E-5	0.02165
2.33E-5	0.02157
2.3E-5	0.02174
2.18E-5	0.02207
2.25E-5	0.02191
2.16E-5	0.02196
2.11E-5	0.02211
2.09E-5	0.02216
2.04E-5	0.02262
1.99E-5	0.02277
1.97E-5	0.02291
1.94E-5	0.02324
1.92E-5	0.02368
1.83E-5	0.02381
1.82E-5	0.02413
1.75E-5	0.02431
1.76E-5	0.02416
1.71E-5	0.02403
1.66E-5	0.02402
1.66E-5	0.02406
1.6E-5	0.02465
1.57E-5	0.02469
1.55E-5	0.02457
1.51E-5	0.02478
1.49E-5	0.02485
1.45E-5	0.02475
1.43E-5	0.02507
1.43E-5	0.02513
1.38E-5	0.02493
1.25E-5	0.02492
1.26E-5	0.02492
1.26E-5	0.02486
1.22E-5	0.02525
1.2E-5	0.02522
1.14E-5	0.02511
1.09E-5	0.02522
1.08E-5	0.02499
1.07E-5	0.02502
1E-5	0.02516
9.9E-6	0.02493
9.3E-6	0.02511
8.8E-6	0.02531
9E-6	0.02535
8.5E-6	0.02537
8E-6	0.02576
7.5E-6	0.0258
7E-6	0.02597
7.1E-6	0.02602
6.6E-6	0.02558
6.4E-6	0.02555
6.2E-6	0.02556
5.8E-6	0.02567
5.3E-6	0.02576
5.2E-6	0.02562
4.5E-6	0.02547
4.8E-6	0.02551
4.3E-6	0.02558
3.7E-6	0.02565
3.5E-6	0.02578
2.9E-6	0.02581
2.3E-6	0.02565
2.1E-6	0.02589
2.2E-6	0.02571
1.9E-6	0.02602
1.6E-6	0.02631
1.2E-6	0.02623
7E-7	0.02591
2E-7	0.02607
1.5E-6	0.02601
1.1E-6	0.02616
4E-7	0.02631
6E-7	0.02618
1E-7	0.02613
-3E-7	0.02637
-6E-7	0.0263
-8E-7	0.02632
-1.4E-6	0.02617
-1.7E-6	0.02604
-2E-6	0.02589
-2.3E-6	0.02577
-2.4E-6	0.02588
-2.7E-6	0.02589
-3.2E-6	0.02588
-3.2E-6	0.02584
-4.1E-6	0.02553
-4.2E-6	0.02553
-4.7E-6	0.02562
-5.3E-6	0.02555
-5.1E-6	0.02558
-5.3E-6	0.02534
-6.1E-6	0.02565
-6.3E-6	0.02557
-6.5E-6	0.02559
-7.1E-6	0.02563
-7.5E-6	0.02574
-7.6E-6	0.02554
-8.5E-6	0.02559
-8.2E-6	0.02546
-8.5E-6	0.02542
-9.3E-6	0.02538
-9.4E-6	0.02521
-1.05E-5	0.02519
-1.01E-5	0.02514
-1.02E-5	0.02528
-1.04E-5	0.02533
-1.12E-5	0.02509
-1.2E-5	0.02491
-1.15E-5	0.02509
-1.21E-5	0.02497
-1.27E-5	0.02511
-1.22E-5	0.02509
-1.3E-5	0.02462
-1.35E-5	0.02474
-1.37E-5	0.0248
-1.44E-5	0.02469
-1.46E-5	0.02471
-1.47E-5	0.02455
-1.47E-5	0.02471
-1.53E-5	0.0246
-1.6E-5	0.02453
-1.62E-5	0.02438
-1.66E-5	0.02418
-1.67E-5	0.02398
-1.74E-5	0.02362
-1.79E-5	0.02358
-1.82E-5	0.02345
-1.83E-5	0.02322
-1.86E-5	0.02315
-1.92E-5	0.02301
-2E-5	0.023
-2.02E-5	0.02279
-2.03E-5	0.02248
-2.09E-5	0.02241
-2.15E-5	0.02245
-2.15E-5	0.02202
-2.22E-5	0.02185
-2.21E-5	0.02189
-2.28E-5	0.02146
-2.32E-5	0.02149
-2.35E-5	0.02161
-2.37E-5	0.02154
-2.43E-5	0.02148
-2.47E-5	0.02144
-2.52E-5	0.02131
-2.59E-5	0.0214
-2.59E-5	0.02129
-2.65E-5	0.0207
-2.69E-5	0.02018
-2.71E-5	0.01984
-2.78E-5	0.01921
-2.82E-5	0.01879
-2.88E-5	0.01802
-2.94E-5	0.01687
-3.01E-5	0.01587
-3.06E-5	0.01523
-3.14E-5	0.0143
-3.23E-5	0.01339
-3.27E-5	0.01275
-3.37E-5	0.01191
-3.42E-5	0.01122
-3.51E-5	0.01061
-3.61E-5	0.01002
-3.71E-5	0.00975
-3.75E-5	0.00946
-3.87E-5	0.00929
-3.95E-5	0.0092
-4.05E-5	0.00905
-4.18E-5	0.00905
-4.19E-5	0.00905
-4.36E-5	0.00907
-4.44E-5	0.00919
-4.44E-5	0.00925
-4.61E-5	0.00935
-4.69E-5	0.00949
-4.74E-5	0.00964
-4.83E-5	0.00974
-4.96E-5	0.00991
-4.99E-5	0.01
-5.09E-5	0.01012
-5.18E-5	0.01025
-5.24E-5	0.01035
-5.41E-5	0.0105
-5.38E-5	0.01062
-5.5E-5	0.0107
-5.58E-5	0.01086
-5.68E-5	0.01091
-5.73E-5	0.011
-5.77E-5	0.01115
-5.88E-5	0.01126
-5.96E-5	0.01137
-6.07E-5	0.01145
-6.05E-5	0.01155
-6.19E-5	0.01169
-6.29E-5	0.01179
-6.25E-5	0.0119
-6.41E-5	0.01198
-6.45E-5	0.01214
-6.52E-5	0.01215
-6.63E-5	0.01214
-6.7E-5	0.01219
-6.77E-5	0.01223
-6.78E-5	0.01227
-6.87E-5	0.01226
-6.92E-5	0.01231
-7.04E-5	0.01229
-7.05E-5	0.01236
-7.18E-5	0.0124
-7.27E-5	0.01243
-7.28E-5	0.01242
-7.34E-5	0.01248
-7.44E-5	0.01261
-7.46E-5	0.01258
-7.53E-5	0.01259
-7.66E-5	0.0126
-7.69E-5	0.01261
-7.78E-5	0.01261
-7.81E-5	0.01271
-7.82E-5	0.01276
-7.99E-5	0.0128
-8.03E-5	0.01285
-8.1E-5	0.0129
-8.17E-5	0.01291
-8.24E-5	0.0129
-8.27E-5	0.01294
-8.32E-5	0.0131
-8.43E-5	0.01318
-8.46E-5	0.01308
-8.58E-5	0.01305
-8.61E-5	0.01313
-8.67E-5	0.01311
-8.71E-5	0.01318
-8.75E-5	0.01316
-8.82E-5	0.01322
-8.91E-5	0.01334
-9E-5	0.01333
-9.02E-5	0.01339
-9.13E-5	0.01346
-9.19E-5	0.01346
-9.19E-5	0.01338
-9.31E-5	0.01352
-9.36E-5	0.01351
-9.41E-5	0.01356
-9.5E-5	0.01356
-9.56E-5	0.01355
-9.61E-5	0.01345
-9.7E-5	0.01338
-9.79E-5	0.01334
-9.78E-5	0.01342
-9.9E-5	0.01339
-9.92E-5	0.01341
-1.003E-4	0.01347
-1.008E-4	0.01348
-1.014E-4	0.01338
-1.018E-4	0.01336
-1.028E-4	0.01336
-1.032E-4	0.01329
-1.035E-4	0.01322
-1.046E-4	0.0132
-1.055E-4	0.01322
-1.062E-4	0.01314
-1.069E-4	0.01317
-1.074E-4	0.0131
