A	B
1.819E-4	0.0121
1.821E-4	0.0121
1.81E-4	0.01207
1.804E-4	0.01208
1.796E-4	0.01203
1.785E-4	0.01198
1.783E-4	0.01203
1.775E-4	0.01207
1.771E-4	0.01201
1.758E-4	0.01203
1.758E-4	0.01207
1.746E-4	0.01204
1.739E-4	0.01212
1.739E-4	0.01217
1.727E-4	0.01211
1.72E-4	0.01206
1.714E-4	0.01205
1.705E-4	0.01207
1.694E-4	0.01206
1.691E-4	0.01201
1.685E-4	0.01202
1.682E-4	0.01198
1.673E-4	0.012
1.659E-4	0.01196
1.659E-4	0.01195
1.649E-4	0.01193
1.639E-4	0.01197
1.64E-4	0.01198
1.627E-4	0.01198
1.618E-4	0.01195
1.609E-4	0.01198
1.607E-4	0.01195
1.592E-4	0.01191
1.594E-4	0.01184
1.588E-4	0.01188
1.574E-4	0.01196
1.575E-4	0.01199
1.563E-4	0.01189
1.554E-4	0.01192
1.545E-4	0.01183
1.544E-4	0.01181
1.536E-4	0.01177
1.53E-4	0.01173
1.522E-4	0.01172
1.512E-4	0.01176
1.508E-4	0.01177
1.494E-4	0.0117
1.492E-4	0.01166
1.483E-4	0.01163
1.472E-4	0.01162
1.471E-4	0.01161
1.462E-4	0.01161
1.453E-4	0.01163
1.446E-4	0.01158
1.44E-4	0.01154
1.429E-4	0.01152
1.426E-4	0.01146
1.418E-4	0.01149
1.406E-4	0.01148
1.408E-4	0.0114
1.391E-4	0.01138
1.387E-4	0.01134
1.38E-4	0.01133
1.373E-4	0.0113
1.367E-4	0.01124
1.362E-4	0.01125
1.351E-4	0.01119
1.344E-4	0.01114
1.337E-4	0.01113
1.322E-4	0.01117
1.319E-4	0.01119
1.315E-4	0.01115
1.303E-4	0.01119
1.299E-4	0.01127
1.288E-4	0.01135
1.279E-4	0.01151
1.273E-4	0.0116
1.268E-4	0.01162
1.261E-4	0.01167
1.255E-4	0.01176
1.248E-4	0.0119
1.236E-4	0.01202
1.233E-4	0.01211
1.22E-4	0.01217
1.212E-4	0.01234
1.218E-4	0.01243
1.203E-4	0.0125
1.198E-4	0.01261
1.192E-4	0.01276
1.185E-4	0.01286
1.181E-4	0.01287
1.178E-4	0.01294
1.164E-4	0.01296
1.159E-4	0.01307
1.154E-4	0.01309
1.143E-4	0.01312
1.139E-4	0.01318
1.135E-4	0.01326
1.127E-4	0.01331
1.119E-4	0.01339
1.113E-4	0.01342
1.109E-4	0.01338
1.1E-4	0.01338
1.098E-4	0.01338
1.085E-4	0.0135
1.081E-4	0.01352
1.075E-4	0.0134
1.067E-4	0.01336
1.066E-4	0.01344
1.06E-4	0.01332
1.046E-4	0.01332
1.044E-4	0.01337
1.034E-4	0.01335
1.028E-4	0.01329
1.029E-4	0.01333
1.025E-4	0.01328
1.01E-4	0.0133
1.009E-4	0.01329
1E-4	0.01322
9.94E-5	0.01312
9.85E-5	0.0131
9.76E-5	0.01309
9.76E-5	0.01306
9.68E-5	0.01294
9.58E-5	0.01292
9.54E-5	0.01285
9.48E-5	0.01285
9.35E-5	0.01276
9.32E-5	0.01274
9.32E-5	0.01267
9.18E-5	0.01256
9.12E-5	0.01254
9.08E-5	0.01239
8.98E-5	0.01226
8.93E-5	0.01224
8.88E-5	0.01212
8.8E-5	0.01209
8.74E-5	0.01205
8.67E-5	0.01189
8.53E-5	0.01174
8.56E-5	0.01161
8.42E-5	0.01152
8.37E-5	0.01139
8.3E-5	0.01134
8.16E-5	0.01123
8.15E-5	0.01111
8.04E-5	0.01099
7.98E-5	0.01089
7.87E-5	0.01079
7.83E-5	0.01064
7.75E-5	0.01047
7.67E-5	0.01038
7.61E-5	0.01027
7.42E-5	0.01009
7.41E-5	0.00992
7.3E-5	0.00971
7.18E-5	0.00944
7.11E-5	0.00906
7E-5	0.00862
6.92E-5	0.00817
6.81E-5	0.00766
6.61E-5	0.00708
6.42E-5	0.0066
6.4E-5	0.00618
6.11E-5	0.0058
5.98E-5	0.00548
5.94E-5	0.00522
5.69E-5	0.00501
5.5E-5	0.00482
5.4E-5	0.0047
5.22E-5	0.00472
4.98E-5	0.00485
4.91E-5	0.00516
4.85E-5	0.00558
4.57E-5	0.00613
4.61E-5	0.00681
4.43E-5	0.00766
4.36E-5	0.00858
4.28E-5	0.00957
4.23E-5	0.01124
4.14E-5	0.01296
4.11E-5	0.01462
4.08E-5	0.01699
4.01E-5	0.01852
3.95E-5	0.02021
3.93E-5	0.02172
3.87E-5	0.02231
3.88E-5	0.02297
3.82E-5	0.02344
3.77E-5	0.02327
3.72E-5	0.02338
3.67E-5	0.02391
3.63E-5	0.02406
3.6E-5	0.02443
3.58E-5	0.02453
3.54E-5	0.02453
3.53E-5	0.025
3.49E-5	0.02501
3.48E-5	0.0248
3.37E-5	0.02517
3.34E-5	0.02518
3.38E-5	0.02524
3.33E-5	0.02541
3.31E-5	0.02547
3.24E-5	0.02555
3.24E-5	0.02592
3.14E-5	0.02604
3.15E-5	0.02591
3.11E-5	0.02573
3.1E-5	0.02578
3.06E-5	0.02624
3E-5	0.02627
3.01E-5	0.02616
2.94E-5	0.02623
2.9E-5	0.02615
2.83E-5	0.02592
2.83E-5	0.02611
2.84E-5	0.02628
2.78E-5	0.02625
2.75E-5	0.02627
2.74E-5	0.02621
2.68E-5	0.02623
2.65E-5	0.0266
2.62E-5	0.02638
2.6E-5	0.02602
2.54E-5	0.02607
2.5E-5	0.02613
2.49E-5	0.02617
2.44E-5	0.02641
2.4E-5	0.02642
2.38E-5	0.02647
2.37E-5	0.02656
2.3E-5	0.02667
2.31E-5	0.02648
2.25E-5	0.02651
2.24E-5	0.02656
2.19E-5	0.02651
2.17E-5	0.0265
2.14E-5	0.02642
2.1E-5	0.02633
