A	B
1.825E-4	0.01207
1.815E-4	0.01207
1.808E-4	0.01208
1.803E-4	0.01212
1.79E-4	0.01217
1.788E-4	0.01214
1.781E-4	0.01214
1.771E-4	0.01219
1.766E-4	0.01213
1.753E-4	0.01204
1.755E-4	0.01205
1.746E-4	0.01212
1.739E-4	0.01207
1.737E-4	0.01209
1.725E-4	0.01211
1.72E-4	0.01213
1.71E-4	0.01213
1.703E-4	0.01209
1.689E-4	0.01209
1.692E-4	0.01206
1.684E-4	0.01205
1.673E-4	0.01201
1.668E-4	0.01203
1.658E-4	0.01194
1.654E-4	0.01192
1.644E-4	0.01199
1.641E-4	0.01195
1.635E-4	0.01197
1.625E-4	0.01205
1.621E-4	0.01201
1.609E-4	0.01203
1.607E-4	0.0121
1.598E-4	0.01209
1.588E-4	0.01201
1.583E-4	0.01199
1.571E-4	0.01195
1.572E-4	0.01196
1.56E-4	0.0119
1.558E-4	0.01192
1.549E-4	0.01187
1.543E-4	0.01186
1.538E-4	0.01186
1.527E-4	0.01188
1.52E-4	0.01188
1.512E-4	0.01181
1.506E-4	0.01179
1.498E-4	0.01174
1.489E-4	0.01179
1.485E-4	0.01179
1.48E-4	0.01182
1.471E-4	0.0118
1.459E-4	0.01175
1.457E-4	0.01171
1.442E-4	0.0117
1.444E-4	0.01163
1.434E-4	0.01164
1.424E-4	0.01161
1.424E-4	0.01157
1.408E-4	0.01151
1.406E-4	0.01156
1.397E-4	0.01152
1.392E-4	0.01149
1.377E-4	0.0115
1.374E-4	0.01143
1.362E-4	0.01145
1.359E-4	0.01138
1.353E-4	0.01132
1.341E-4	0.01132
1.333E-4	0.01127
1.328E-4	0.0112
1.318E-4	0.01122
1.314E-4	0.01123
1.306E-4	0.0112
1.299E-4	0.01123
1.29E-4	0.01128
1.285E-4	0.01128
1.273E-4	0.0113
1.269E-4	0.01143
1.264E-4	0.01149
1.253E-4	0.01152
1.245E-4	0.01167
1.239E-4	0.01178
1.23E-4	0.01191
1.225E-4	0.01198
1.219E-4	0.0121
1.214E-4	0.01221
1.208E-4	0.01232
1.199E-4	0.01248
1.19E-4	0.01258
1.19E-4	0.01267
1.178E-4	0.01279
1.173E-4	0.01286
1.168E-4	0.01293
1.155E-4	0.01295
1.158E-4	0.01302
1.145E-4	0.01312
1.139E-4	0.01317
1.132E-4	0.01319
1.126E-4	0.01324
1.122E-4	0.01326
1.112E-4	0.0133
1.11E-4	0.01331
1.101E-4	0.01337
1.099E-4	0.01341
1.085E-4	0.01346
1.085E-4	0.01342
1.074E-4	0.01345
1.069E-4	0.01353
1.066E-4	0.01345
1.053E-4	0.01343
1.05E-4	0.01342
1.042E-4	0.01332
1.039E-4	0.01334
1.03E-4	0.0134
1.025E-4	0.01338
1.021E-4	0.01338
1.01E-4	0.01332
1.009E-4	0.01323
1E-4	0.01316
9.96E-5	0.01317
9.85E-5	0.01315
9.77E-5	0.01315
9.78E-5	0.01316
9.68E-5	0.01314
9.66E-5	0.01311
9.57E-5	0.01299
9.48E-5	0.01298
9.41E-5	0.01298
9.37E-5	0.01282
9.33E-5	0.01278
9.17E-5	0.01275
9.17E-5	0.01272
9.01E-5	0.01271
9.02E-5	0.01264
8.93E-5	0.01255
8.86E-5	0.01247
8.82E-5	0.01238
8.76E-5	0.01222
8.66E-5	0.01215
8.58E-5	0.01208
8.54E-5	0.01197
8.42E-5	0.0119
8.39E-5	0.01181
8.37E-5	0.01169
8.22E-5	0.01165
8.21E-5	0.01155
8.1E-5	0.01143
8.02E-5	0.01138
7.93E-5	0.01132
7.85E-5	0.01121
7.81E-5	0.01116
7.7E-5	0.01099
7.64E-5	0.01092
7.53E-5	0.01084
7.46E-5	0.0107
7.37E-5	0.01059
7.3E-5	0.01042
7.18E-5	0.01022
7.1E-5	0.01009
