A	B
1.826E-4	0.01225
1.821E-4	0.01226
1.809E-4	0.01223
1.812E-4	0.01215
1.796E-4	0.01212
1.794E-4	0.01214
1.789E-4	0.01218
1.778E-4	0.01222
1.769E-4	0.0122
1.764E-4	0.01214
1.755E-4	0.01218
1.755E-4	0.0122
1.747E-4	0.01221
1.735E-4	0.01215
1.73E-4	0.01215
1.722E-4	0.01219
1.714E-4	0.01225
1.715E-4	0.01218
1.697E-4	0.01215
1.694E-4	0.01209
1.693E-4	0.01211
1.677E-4	0.01217
1.676E-4	0.01214
1.665E-4	0.0121
1.661E-4	0.01214
1.648E-4	0.01216
1.648E-4	0.01209
1.64E-4	0.01207
1.633E-4	0.0121
1.629E-4	0.01206
1.617E-4	0.01206
1.613E-4	0.01209
1.602E-4	0.01207
1.595E-4	0.0121
1.589E-4	0.01207
1.586E-4	0.01201
1.577E-4	0.01201
1.57E-4	0.01204
1.563E-4	0.01207
1.553E-4	0.01204
1.553E-4	0.01198
1.544E-4	0.01198
1.533E-4	0.01193
1.532E-4	0.01191
1.517E-4	0.01194
1.513E-4	0.01192
1.506E-4	0.01196
1.494E-4	0.01196
1.488E-4	0.01198
1.486E-4	0.01186
1.477E-4	0.01191
1.469E-4	0.01192
1.469E-4	0.0119
1.454E-4	0.01188
1.449E-4	0.01185
1.44E-4	0.01183
1.433E-4	0.01185
1.424E-4	0.01177
1.422E-4	0.01175
1.413E-4	0.01176
1.401E-4	0.01179
1.401E-4	0.01168
1.386E-4	0.01164
1.387E-4	0.01165
1.378E-4	0.01164
1.366E-4	0.01163
1.364E-4	0.01153
1.351E-4	0.0115
1.348E-4	0.01152
1.338E-4	0.0115
1.331E-4	0.01143
1.329E-4	0.01141
1.319E-4	0.01139
1.313E-4	0.01136
1.297E-4	0.01137
1.298E-4	0.01136
1.287E-4	0.01132
1.282E-4	0.01135
1.274E-4	0.01135
1.26E-4	0.01138
1.259E-4	0.01136
1.25E-4	0.0114
1.243E-4	0.01153
1.229E-4	0.01163
1.225E-4	0.01171
1.221E-4	0.0118
1.211E-4	0.01186
1.21E-4	0.01198
1.197E-4	0.01211
1.194E-4	0.01223
1.185E-4	0.01232
1.18E-4	0.01248
1.177E-4	0.01259
1.165E-4	0.01266
1.161E-4	0.01278
1.153E-4	0.01274
1.145E-4	0.01289
1.137E-4	0.01305
1.136E-4	0.01311
1.122E-4	0.01315
1.121E-4	0.01319
1.118E-4	0.01315
1.109E-4	0.01317
1.101E-4	0.01325
1.095E-4	0.01316
1.086E-4	0.01322
1.079E-4	0.01327
1.076E-4	0.01331
1.071E-4	0.01338
1.063E-4	0.0134
1.061E-4	0.01334
1.043E-4	0.01332
1.041E-4	0.01337
1.036E-4	0.01332
1.029E-4	0.01337
1.027E-4	0.01339
1.017E-4	0.01331
1.012E-4	0.01327
1.006E-4	0.01329
1.002E-4	0.01331
9.9E-5	0.01327
9.9E-5	0.01326
9.84E-5	0.01325
9.71E-5	0.01329
9.69E-5	0.0132
9.61E-5	0.0132
9.52E-5	0.01319
9.46E-5	0.01317
9.44E-5	0.01309
9.38E-5	0.01313
9.31E-5	0.01313
9.26E-5	0.01299
9.14E-5	0.01298
9.1E-5	0.01287
9.01E-5	0.01283
8.94E-5	0.01266
8.93E-5	0.01259
8.82E-5	0.01257
8.73E-5	0.01255
8.62E-5	0.01249
8.64E-5	0.01232
8.5E-5	0.01223
8.48E-5	0.0122
8.37E-5	0.01207
8.31E-5	0.01214
8.29E-5	0.0121
8.19E-5	0.01199
8.1E-5	0.01192
8.04E-5	0.01183
7.93E-5	0.01179
7.93E-5	0.01175
7.83E-5	0.01161
7.71E-5	0.01153
7.65E-5	0.01151
7.62E-5	0.01133
7.43E-5	0.0113
7.43E-5	0.01127
7.33E-5	0.01122
7.3E-5	0.01113
7.24E-5	0.01105
7.12E-5	0.0109
7.04E-5	0.01083
6.98E-5	0.01081
6.91E-5	0.01064
6.78E-5	0.01048
6.74E-5	0.01029
6.64E-5	0.01009
6.53E-5	0.00993
6.49E-5	0.00974
6.33E-5	0.00949
6.26E-5	0.00922
6.16E-5	0.00898
6.02E-5	0.00865
6E-5	0.00837
5.89E-5	0.00811
5.71E-5	0.00781
5.6E-5	0.00753
5.51E-5	0.00723
5.3E-5	0.007
5.33E-5	0.00678
