A	B
1.823E-4	0.01201
1.821E-4	0.01203
1.812E-4	0.01206
1.803E-4	0.01209
1.801E-4	0.01207
1.792E-4	0.01207
1.786E-4	0.01204
1.779E-4	0.01204
1.771E-4	0.01206
1.757E-4	0.01205
1.763E-4	0.01212
1.751E-4	0.01208
1.743E-4	0.01203
1.745E-4	0.01206
1.727E-4	0.01201
1.727E-4	0.01201
1.715E-4	0.01197
1.713E-4	0.01193
1.699E-4	0.01196
1.695E-4	0.01197
1.688E-4	0.01206
1.679E-4	0.01209
1.672E-4	0.01207
1.665E-4	0.01198
1.662E-4	0.01195
1.648E-4	0.01194
1.647E-4	0.01194
1.634E-4	0.01197
1.628E-4	0.01199
1.627E-4	0.01191
1.614E-4	0.01196
1.606E-4	0.01192
1.603E-4	0.01188
1.593E-4	0.01187
1.59E-4	0.01186
1.582E-4	0.01187
1.57E-4	0.01183
1.561E-4	0.01189
1.56E-4	0.01175
1.543E-4	0.01177
1.545E-4	0.01176
1.54E-4	0.01177
1.528E-4	0.01178
1.524E-4	0.01178
1.514E-4	0.01178
1.509E-4	0.01173
1.497E-4	0.01171
1.489E-4	0.01172
1.483E-4	0.01174
1.475E-4	0.01169
1.463E-4	0.01166
1.463E-4	0.01167
1.455E-4	0.01164
1.446E-4	0.01162
1.443E-4	0.01154
1.429E-4	0.01153
1.42E-4	0.01145
1.422E-4	0.01135
1.408E-4	0.01139
1.408E-4	0.01136
1.397E-4	0.01136
1.389E-4	0.01136
1.379E-4	0.01134
1.374E-4	0.01127
1.369E-4	0.01126
1.362E-4	0.01123
1.353E-4	0.01122
1.342E-4	0.01118
1.338E-4	0.01121
1.325E-4	0.01117
1.315E-4	0.01118
1.32E-4	0.01117
1.304E-4	0.01123
1.297E-4	0.01128
1.291E-4	0.01129
1.279E-4	0.01142
1.277E-4	0.01151
1.268E-4	0.01155
1.261E-4	0.01166
1.256E-4	0.01179
1.249E-4	0.01188
1.239E-4	0.01204
1.231E-4	0.01216
1.229E-4	0.01228
1.213E-4	0.0124
1.214E-4	0.01254
1.21E-4	0.01262
1.201E-4	0.01273
1.189E-4	0.0128
1.189E-4	0.01285
1.18E-4	0.01298
1.174E-4	0.01305
1.168E-4	0.01304
1.158E-4	0.01305
1.154E-4	0.01307
1.148E-4	0.01313
1.142E-4	0.0132
1.136E-4	0.01325
1.124E-4	0.01331
1.116E-4	0.01327
1.116E-4	0.01328
1.113E-4	0.0133
1.102E-4	0.0133
1.099E-4	0.01326
1.089E-4	0.01333
1.083E-4	0.01334
1.074E-4	0.01336
1.07E-4	0.01337
1.064E-4	0.01341
1.055E-4	0.01343
1.051E-4	0.01346
1.04E-4	0.01338
1.04E-4	0.01343
1.028E-4	0.01339
1.026E-4	0.0133
1.02E-4	0.01329
1.013E-4	0.01324
1.005E-4	0.01316
1.001E-4	0.01312
9.91E-5	0.01308
9.86E-5	0.01304
9.8E-5	0.01301
9.73E-5	0.01293
9.65E-5	0.01295
9.62E-5	0.01291
9.48E-5	0.01284
9.45E-5	0.01282
9.38E-5	0.01276
9.32E-5	0.01268
9.28E-5	0.01262
9.18E-5	0.0126
9.12E-5	0.0125
8.98E-5	0.01245
8.98E-5	0.01235
8.88E-5	0.01224
8.78E-5	0.01217
8.79E-5	0.01203
8.66E-5	0.01192
8.63E-5	0.01183
8.54E-5	0.01175
8.48E-5	0.01163
8.32E-5	0.01154
8.33E-5	0.01144
8.22E-5	0.01134
8.16E-5	0.0113
8.16E-5	0.01117
7.97E-5	0.01097
7.96E-5	0.01083
7.8E-5	0.01079
7.73E-5	0.01069
7.68E-5	0.0106
7.59E-5	0.01045
7.54E-5	0.01034
7.4E-5	0.01012
7.35E-5	0.00985
7.18E-5	0.00966
7.16E-5	0.0094
7E-5	0.009
6.88E-5	0.00854
6.91E-5	0.00808
6.64E-5	0.00764
6.6E-5	0.00709
6.43E-5	0.00656
6.27E-5	0.00613
6.09E-5	0.00579
5.98E-5	0.00549
5.8E-5	0.00522
5.58E-5	0.00501
5.48E-5	0.00481
5.19E-5	0.0047
5.15E-5	0.00467
4.93E-5	0.00481
4.78E-5	0.00516
4.79E-5	0.00554
4.57E-5	0.00611
4.44E-5	0.00678
4.38E-5	0.00754
4.32E-5	0.00863
4.19E-5	0.00975
4.17E-5	0.01123
4.08E-5	0.01295
4.04E-5	0.01454
4.03E-5	0.01678
3.95E-5	0.01894
3.92E-5	0.02015
3.87E-5	0.02131
3.82E-5	0.02216
3.83E-5	0.0227
3.8E-5	0.02307
3.72E-5	0.02348
3.7E-5	0.02351
3.65E-5	0.02384
3.58E-5	0.02415
3.59E-5	0.02405
3.59E-5	0.02452
3.48E-5	0.02436
3.5E-5	0.0243
3.48E-5	0.02465
3.44E-5	0.0249
