A	B
1.816E-4	0.01212
1.815E-4	0.01213
1.805E-4	0.01211
1.802E-4	0.01211
1.792E-4	0.01199
1.784E-4	0.01203
1.78E-4	0.01211
1.773E-4	0.01209
1.763E-4	0.01205
1.754E-4	0.01205
1.752E-4	0.01206
1.743E-4	0.012
1.734E-4	0.01198
1.732E-4	0.01199
1.721E-4	0.01202
1.718E-4	0.01203
1.708E-4	0.01206
1.698E-4	0.01206
1.694E-4	0.01197
1.685E-4	0.01198
1.679E-4	0.01203
1.667E-4	0.01197
1.666E-4	0.01198
1.657E-4	0.01201
1.654E-4	0.01203
1.643E-4	0.01198
1.637E-4	0.01203
1.629E-4	0.012
1.623E-4	0.01193
1.616E-4	0.01187
1.607E-4	0.0119
1.603E-4	0.01192
1.592E-4	0.01195
1.589E-4	0.01198
1.584E-4	0.01196
1.572E-4	0.01187
1.572E-4	0.01173
1.555E-4	0.01177
1.551E-4	0.01182
1.539E-4	0.01177
1.534E-4	0.01172
1.533E-4	0.01173
1.521E-4	0.01173
1.518E-4	0.0118
1.513E-4	0.01181
1.503E-4	0.01173
1.489E-4	0.01177
1.487E-4	0.01173
1.477E-4	0.01166
1.468E-4	0.01167
1.467E-4	0.01163
1.456E-4	0.0116
1.446E-4	0.01159
1.443E-4	0.01158
1.434E-4	0.01151
1.422E-4	0.01147
1.417E-4	0.01144
1.41E-4	0.01148
1.403E-4	0.01153
1.399E-4	0.0114
1.386E-4	0.01137
1.38E-4	0.01133
1.376E-4	0.01133
1.366E-4	0.01136
1.364E-4	0.01133
1.351E-4	0.01119
1.343E-4	0.01118
1.334E-4	0.01114
1.33E-4	0.01107
1.32E-4	0.01111
1.313E-4	0.01118
1.31E-4	0.01118
1.297E-4	0.01121
1.294E-4	0.01127
1.282E-4	0.01131
1.274E-4	0.01137
1.266E-4	0.01145
1.265E-4	0.01157
1.255E-4	0.01167
1.243E-4	0.01179
1.245E-4	0.01192
1.23E-4	0.01209
1.226E-4	0.01218
1.216E-4	0.01225
1.215E-4	0.01244
1.206E-4	0.01265
1.202E-4	0.01267
1.197E-4	0.01276
1.187E-4	0.01281
1.18E-4	0.0129
1.173E-4	0.01294
1.164E-4	0.01303
1.158E-4	0.01305
1.154E-4	0.01309
1.147E-4	0.01307
1.137E-4	0.0131
1.133E-4	0.01323
1.123E-4	0.01326
1.12E-4	0.01329
1.11E-4	0.01332
1.106E-4	0.01336
1.103E-4	0.01334
1.094E-4	0.01333
1.09E-4	0.01338
1.08E-4	0.01334
1.081E-4	0.01339
1.065E-4	0.01342
1.056E-4	0.01335
1.058E-4	0.01334
1.049E-4	0.01332
1.044E-4	0.01339
1.038E-4	0.01347
1.032E-4	0.0134
1.019E-4	0.01336
1.019E-4	0.01336
1.015E-4	0.01325
