A	B
1.821E-4	0.01202
1.813E-4	0.01208
1.812E-4	0.0121
1.798E-4	0.0121
1.799E-4	0.01206
1.787E-4	0.01204
1.782E-4	0.01206
1.772E-4	0.01205
1.768E-4	0.01207
1.758E-4	0.01211
1.758E-4	0.01207
1.736E-4	0.01212
1.741E-4	0.01208
1.736E-4	0.01207
1.724E-4	0.01207
1.717E-4	0.01202
1.709E-4	0.01199
1.7E-4	0.01202
1.694E-4	0.01203
1.692E-4	0.012
1.683E-4	0.01204
1.674E-4	0.01207
1.67E-4	0.01202
1.654E-4	0.01201
1.654E-4	0.01203
1.644E-4	0.01198
1.635E-4	0.01197
1.634E-4	0.01198
1.626E-4	0.01195
1.619E-4	0.01193
1.609E-4	0.012
1.605E-4	0.01197
1.595E-4	0.01196
1.59E-4	0.01187
1.583E-4	0.01184
1.57E-4	0.01186
1.573E-4	0.01182
1.557E-4	0.01178
1.553E-4	0.01183
1.547E-4	0.01183
1.542E-4	0.01183
1.53E-4	0.01183
1.526E-4	0.01178
1.515E-4	0.01178
1.506E-4	0.0118
1.505E-4	0.01182
1.492E-4	0.01176
1.492E-4	0.01172
1.48E-4	0.01169
1.471E-4	0.01169
1.468E-4	0.01166
1.458E-4	0.0116
1.452E-4	0.01158
1.445E-4	0.01152
1.434E-4	0.01154
1.426E-4	0.01148
1.426E-4	0.01141
1.416E-4	0.01143
1.405E-4	0.01143
1.403E-4	0.01137
1.387E-4	0.01133
1.387E-4	0.0113
1.375E-4	0.0113
1.369E-4	0.01128
1.364E-4	0.01122
1.355E-4	0.01119
1.348E-4	0.01126
1.342E-4	0.01123
1.335E-4	0.0112
1.322E-4	0.01114
1.316E-4	0.01122
1.318E-4	0.01122
1.304E-4	0.01128
1.296E-4	0.01136
1.288E-4	0.01145
1.281E-4	0.01149
1.273E-4	0.01156
1.267E-4	0.01171
1.261E-4	0.01175
1.248E-4	0.01183
1.246E-4	0.01193
1.236E-4	0.01209
1.235E-4	0.01218
1.221E-4	0.01227
1.218E-4	0.01238
1.213E-4	0.01244
1.203E-4	0.01255
1.202E-4	0.01263
1.188E-4	0.01276
1.183E-4	0.0129
1.178E-4	0.01286
1.171E-4	0.01289
1.163E-4	0.01294
1.156E-4	0.01299
1.153E-4	0.01307
1.14E-4	0.01316
1.139E-4	0.01318
1.126E-4	0.01319
1.125E-4	0.01327
1.121E-4	0.01328
1.11E-4	0.01336
1.109E-4	0.01331
1.099E-4	0.01331
1.098E-4	0.01337
1.08E-4	0.01335
1.082E-4	0.01339
1.066E-4	0.0134
1.064E-4	0.01336
1.065E-4	0.01335
1.049E-4	0.01333
1.043E-4	0.0134
1.036E-4	0.01333
1.029E-4	0.01335
1.024E-4	0.01337
1.023E-4	0.01333
1.016E-4	0.01331
1.007E-4	0.01328
1.001E-4	0.01315
9.92E-5	0.01319
9.89E-5	0.0131
9.8E-5	0.01304
9.7E-5	0.01294
9.73E-5	0.01293
9.6E-5	0.01301
9.57E-5	0.01293
9.47E-5	0.0129
9.38E-5	0.01281
9.32E-5	0.01277
9.27E-5	0.01272
9.19E-5	0.01259
9.1E-5	0.01255
9.08E-5	0.01243
8.96E-5	0.0124
8.94E-5	0.01232
8.83E-5	0.01218
8.78E-5	0.01211
8.72E-5	0.01205
8.61E-5	0.01204
8.57E-5	0.01193
8.5E-5	0.01183
8.41E-5	0.01176
8.29E-5	0.01166
8.29E-5	0.01139
8.2E-5	0.01124
8.08E-5	0.01118
8.1E-5	0.01108
7.94E-5	0.01099
7.86E-5	0.01089
7.8E-5	0.01082
7.68E-5	0.01062
7.66E-5	0.01055
7.56E-5	0.01038
7.53E-5	0.01025
7.36E-5	0.01008
7.33E-5	0.00986
7.17E-5	0.0096
7.16E-5	0.00934
6.98E-5	0.00903
6.88E-5	0.00865
6.86E-5	0.0082
6.7E-5	0.00783
6.55E-5	0.00729
6.44E-5	0.00669
6.25E-5	0.00613
6.02E-5	0.00576
5.98E-5	0.00541
5.83E-5	0.00517
5.58E-5	0.00502
5.53E-5	0.00478
5.25E-5	0.00465
5.1E-5	0.00466
4.98E-5	0.00478
4.78E-5	0.0051
4.74E-5	0.00544
4.6E-5	0.00587
4.37E-5	0.00662
4.37E-5	0.00731
4.26E-5	0.00839
4.16E-5	0.00967
4.16E-5	0.01119
4.05E-5	0.01295
4.02E-5	0.01459
3.98E-5	0.01661
3.91E-5	0.01877
3.91E-5	0.01997
3.84E-5	0.02119
3.79E-5	0.02248
3.78E-5	0.02274
3.73E-5	0.02303
3.72E-5	0.02382
3.64E-5	0.02378
3.6E-5	0.02386
3.56E-5	0.02396
3.54E-5	0.02403
3.52E-5	0.02423
3.45E-5	0.02467
3.43E-5	0.02455
3.4E-5	0.02488
3.36E-5	0.02516
3.34E-5	0.02504
3.32E-5	0.02506
3.24E-5	0.02541
3.22E-5	0.02539
3.22E-5	0.0256
3.15E-5	0.02566
3.13E-5	0.02548
3.08E-5	0.02565
3.09E-5	0.02559
3.01E-5	0.02577
3.03E-5	0.02603
2.95E-5	0.02579
2.91E-5	0.02584
2.94E-5	0.0262
2.81E-5	0.02608
2.83E-5	0.02624
2.76E-5	0.02633
2.78E-5	0.02624
2.72E-5	0.02598
2.68E-5	0.02634
2.66E-5	0.02618
2.63E-5	0.02622
2.6E-5	0.02616
2.58E-5	0.02627
2.52E-5	0.02608
2.52E-5	0.02577
2.42E-5	0.0261
2.41E-5	0.02625
2.39E-5	0.02622
2.39E-5	0.0262
2.31E-5	0.02631
2.31E-5	0.02633
2.25E-5	0.0265
2.23E-5	0.02622
2.2E-5	0.0261
2.15E-5	0.02629
2.17E-5	0.0265
2.11E-5	0.02622
2.07E-5	0.02626
2.06E-5	0.02618
2.01E-5	0.02617
2.01E-5	0.02607
1.97E-5	0.02641
1.95E-5	0.02645
1.85E-5	0.02641
1.85E-5	0.02634
1.83E-5	0.02623
1.74E-5	0.02616
1.8E-5	0.02615
1.72E-5	0.02621
1.68E-5	0.02633
1.65E-5	0.02632
1.61E-5	0.02645
1.59E-5	0.0263
1.57E-5	0.02603
1.55E-5	0.02613
1.49E-5	0.02638
1.49E-5	0.02613
1.41E-5	0.02575
1.39E-5	0.02566
1.37E-5	0.02555
1.35E-5	0.02536
1.31E-5	0.02553
1.31E-5	0.02585
1.26E-5	0.02575
1.22E-5	0.02583
1.19E-5	0.02546
1.13E-5	0.02537
1.11E-5	0.0255
1.09E-5	0.02532
1E-5	0.02506
1.02E-5	0.02475
1.02E-5	0.02504
9.5E-6	0.02487
9E-6	0.02467
8.9E-6	0.02455
8.7E-6	0.02438
7.7E-6	0.0238
7.7E-6	0.02363
7.2E-6	0.02342
7.2E-6	0.02299
6.6E-6	0.02281
6.7E-6	0.0225
6.2E-6	0.02225
5.9E-6	0.02233
4.8E-6	0.02233
4.7E-6	0.02231
4.5E-6	0.02225
3.9E-6	0.02234
3.6E-6	0.0225
3.5E-6	0.0231
2.9E-6	0.02361
2.5E-6	0.02495
2.3E-6	0.0264
1.9E-6	0.02783
1.9E-6	0.02963
1.4E-6	0.03286
1.5E-6	0.03535
1.2E-6	0.0375
1.2E-6	0.04044
8E-7	0.04315
6E-7	0.0464
1.1E-6	0.04822
9E-7	0.04749
7E-7	0.04711
1E-7	0.04778
2E-7	0.04824
1E-7	0.0466
-4E-7	0.04439
5E-7	0.04212
-6E-7	0.03905
