A	B
1.831E-4	0.0122
1.83E-4	0.01219
1.816E-4	0.01222
1.81E-4	0.01229
1.801E-4	0.0123
1.797E-4	0.0122
1.792E-4	0.01216
1.785E-4	0.01223
1.78E-4	0.01227
1.767E-4	0.01228
1.761E-4	0.0123
1.753E-4	0.01237
1.752E-4	0.01235
1.746E-4	0.01232
1.737E-4	0.01229
1.729E-4	0.01223
1.722E-4	0.01216
1.714E-4	0.01224
1.708E-4	0.01231
1.698E-4	0.0122
1.697E-4	0.01221
1.691E-4	0.0122
1.683E-4	0.01222
1.674E-4	0.01225
1.672E-4	0.01229
1.66E-4	0.01228
1.653E-4	0.01222
1.652E-4	0.01223
1.641E-4	0.01224
1.634E-4	0.01228
1.627E-4	0.01227
1.62E-4	0.01224
1.61E-4	0.01224
1.61E-4	0.01226
1.602E-4	0.01221
1.594E-4	0.01224
1.587E-4	0.01224
1.575E-4	0.01221
1.573E-4	0.01227
1.562E-4	0.01223
1.561E-4	0.0123
1.555E-4	0.01229
1.541E-4	0.01226
1.54E-4	0.01221
1.531E-4	0.01217
1.523E-4	0.01211
1.514E-4	0.01215
1.509E-4	0.01217
1.501E-4	0.01217
1.494E-4	0.01218
1.493E-4	0.01216
1.477E-4	0.01213
1.477E-4	0.01209
1.467E-4	0.0121
1.46E-4	0.01221
1.448E-4	0.01226
1.447E-4	0.01213
1.44E-4	0.01205
1.43E-4	0.01209
1.428E-4	0.01212
1.413E-4	0.01212
1.407E-4	0.01212
1.402E-4	0.01207
1.395E-4	0.012
1.388E-4	0.01198
1.38E-4	0.01193
1.375E-4	0.01194
1.364E-4	0.01197
1.362E-4	0.01193
1.352E-4	0.01189
1.348E-4	0.01196
1.344E-4	0.01198
1.332E-4	0.01194
1.325E-4	0.01189
1.317E-4	0.01181
1.311E-4	0.01187
1.299E-4	0.01188
1.295E-4	0.01176
1.29E-4	0.0117
1.281E-4	0.0117
1.278E-4	0.01171
1.262E-4	0.01171
1.261E-4	0.01168
1.255E-4	0.01163
1.244E-4	0.01161
1.242E-4	0.0115
1.234E-4	0.01153
1.221E-4	0.01154
1.214E-4	0.01156
1.208E-4	0.01159
1.201E-4	0.01169
1.195E-4	0.01169
1.189E-4	0.01169
1.179E-4	0.01175
1.175E-4	0.01186
1.165E-4	0.01197
1.16E-4	0.01203
1.15E-4	0.0121
1.144E-4	0.01227
1.137E-4	0.01236
1.134E-4	0.01247
1.123E-4	0.01262
1.117E-4	0.01269
1.116E-4	0.01279
1.109E-4	0.01288
1.099E-4	0.01296
1.09E-4	0.01303
1.082E-4	0.01308
1.082E-4	0.01315
1.072E-4	0.01321
1.067E-4	0.01331
1.063E-4	0.01334
1.051E-4	0.01336
1.044E-4	0.01339
1.04E-4	0.01337
1.034E-4	0.01333
1.03E-4	0.01329
1.024E-4	0.01329
1.014E-4	0.01337
1.013E-4	0.01348
1.002E-4	0.01348
9.96E-5	0.01345
9.95E-5	0.01335
9.86E-5	0.01335
9.79E-5	0.01343
9.69E-5	0.01342
9.68E-5	0.01343
9.55E-5	0.01346
9.53E-5	0.01341
9.48E-5	0.01338
9.39E-5	0.01349
9.35E-5	0.01342
9.27E-5	0.01333
9.19E-5	0.01332
9.15E-5	0.01331
9.07E-5	0.01325
9.02E-5	0.01327
8.95E-5	0.01324
8.95E-5	0.01317
8.78E-5	0.01317
8.79E-5	0.01314
8.67E-5	0.01306
8.61E-5	0.013
8.55E-5	0.01292
8.49E-5	0.01283
8.44E-5	0.01285
8.38E-5	0.01281
8.33E-5	0.01276
8.17E-5	0.01272
8.16E-5	0.01267
8.09E-5	0.01254
8.02E-5	0.01256
7.96E-5	0.01253
7.87E-5	0.01249
7.81E-5	0.01242
7.74E-5	0.01239
7.7E-5	0.01234
7.62E-5	0.01233
7.55E-5	0.01227
7.43E-5	0.0122
7.43E-5	0.01218
7.31E-5	0.01218
7.23E-5	0.01221
7.29E-5	0.01212
7.11E-5	0.01202
7.05E-5	0.01194
7.01E-5	0.01191
6.91E-5	0.01191
6.84E-5	0.01189
6.78E-5	0.01178
6.66E-5	0.01174
6.62E-5	0.01171
6.55E-5	0.01162
6.49E-5	0.01159
6.41E-5	0.01146
6.36E-5	0.01136
6.21E-5	0.01127
6.15E-5	0.01116
6.09E-5	0.01095
5.98E-5	0.01083
5.95E-5	0.01066
5.87E-5	0.01055
5.75E-5	0.01042
5.65E-5	0.01026
5.56E-5	0.01005
5.45E-5	0.00993
5.44E-5	0.00974
5.31E-5	0.0096
5.22E-5	0.00948
5.24E-5	0.00931
5.03E-5	0.00916
4.99E-5	0.00894
4.85E-5	0.00877
4.75E-5	0.00869
4.66E-5	0.00857
4.61E-5	0.00845
4.51E-5	0.0084
4.36E-5	0.00834
4.31E-5	0.00831
4.15E-5	0.0083
4.08E-5	0.00838
4.08E-5	0.00847
3.87E-5	0.00864
3.76E-5	0.00895
3.75E-5	0.00931
3.64E-5	0.00984
3.56E-5	0.0104
3.53E-5	0.01099
3.4E-5	0.01173
3.36E-5	0.01262
3.32E-5	0.01325
3.22E-5	0.01407
3.25E-5	0.01486
3.16E-5	0.01572
3.12E-5	0.01662
3.01E-5	0.01715
3E-5	0.01771
2.96E-5	0.01819
2.88E-5	0.01839
2.89E-5	0.01887
2.8E-5	0.01928
2.78E-5	0.01946
2.69E-5	0.01995
2.73E-5	0.02055
2.64E-5	0.02082
2.57E-5	0.02135
2.62E-5	0.02196
2.55E-5	0.02199
2.52E-5	0.02216
2.46E-5	0.02266
2.39E-5	0.02269
2.39E-5	0.02282
2.34E-5	0.02325
2.31E-5	0.02342
2.27E-5	0.02371
2.24E-5	0.02389
2.14E-5	0.02405
2.13E-5	0.02394
2.13E-5	0.02408
2.1E-5	0.02414
2.02E-5	0.02429
2.02E-5	0.0243
2.01E-5	0.02447
1.88E-5	0.02462
1.93E-5	0.02461
1.88E-5	0.02474
1.8E-5	0.02474
1.85E-5	0.02466
1.79E-5	0.02448
1.76E-5	0.02447
1.72E-5	0.02457
1.63E-5	0.02485
1.65E-5	0.02528
1.59E-5	0.02545
1.63E-5	0.02521
1.51E-5	0.02515
1.52E-5	0.02512
1.45E-5	0.02512
1.46E-5	0.02519
1.43E-5	0.0253
1.36E-5	0.02554
1.33E-5	0.02544
1.31E-5	0.02537
1.27E-5	0.02554
1.21E-5	0.0256
1.21E-5	0.02556
1.14E-5	0.02578
1.11E-5	0.02594
1.11E-5	0.02571
1.04E-5	0.02578
1.04E-5	0.0258
1.03E-5	0.02575
1E-5	0.02576
9.3E-6	0.02569
9.3E-6	0.02577
8.7E-6	0.02587
8.4E-6	0.02595
8.1E-6	0.02593
7E-6	0.0261
7.4E-6	0.02595
6.7E-6	0.02607
6.7E-6	0.02589
6.9E-6	0.02582
5.9E-6	0.02587
5.6E-6	0.02589
5.2E-6	0.02607
5.1E-6	0.026
4.8E-6	0.02585
4.3E-6	0.0259
4.5E-6	0.02611
3.5E-6	0.02619
3.3E-6	0.0264
2.8E-6	0.02632
2.8E-6	0.02615
2.6E-6	0.02634
2E-6	0.02621
2.2E-6	0.02633
1.1E-6	0.0263
1.3E-6	0.02647
1E-6	0.02636
4E-7	0.02628
1E-6	0.02637
9E-7	0.02655
6E-7	0.02677
2E-7	0.02664
-2E-7	0.02643
-5E-7	0.02651
-5E-7	0.02633
-1E-6	0.0262
-1.4E-6	0.02649
-1.2E-6	0.02631
-2.4E-6	0.02626
-2.1E-6	0.02626
-2.8E-6	0.02608
-2.9E-6	0.02585
-3.1E-6	0.02605
-3.4E-6	0.02605
-3.7E-6	0.02606
-4E-6	0.02619
-4.6E-6	0.02598
-5.1E-6	0.02592
