A	B
1.823E-4	0.01214
1.817E-4	0.01213
1.811E-4	0.01216
1.803E-4	0.0122
1.795E-4	0.01219
1.789E-4	0.01213
1.784E-4	0.01215
1.774E-4	0.01215
1.774E-4	0.0121
1.756E-4	0.01214
1.757E-4	0.01216
1.746E-4	0.01215
1.742E-4	0.01217
1.737E-4	0.01217
1.732E-4	0.01217
1.721E-4	0.01217
1.71E-4	0.01218
1.707E-4	0.01206
1.697E-4	0.01211
1.69E-4	0.01214
1.689E-4	0.01216
1.675E-4	0.01215
1.672E-4	0.01209
1.664E-4	0.01207
1.655E-4	0.01209
1.65E-4	0.01205
1.643E-4	0.01202
1.637E-4	0.01206
1.63E-4	0.01206
1.622E-4	0.01203
1.612E-4	0.01205
1.607E-4	0.01199
1.594E-4	0.01199
1.592E-4	0.012
1.591E-4	0.01195
1.579E-4	0.01193
1.572E-4	0.012
1.569E-4	0.01202
1.561E-4	0.01199
1.547E-4	0.01195
1.544E-4	0.01198
1.538E-4	0.01192
1.525E-4	0.01199
1.523E-4	0.012
1.514E-4	0.01197
1.503E-4	0.01188
1.502E-4	0.01186
1.495E-4	0.0118
1.483E-4	0.01179
1.478E-4	0.01175
1.475E-4	0.0118
1.463E-4	0.01181
1.46E-4	0.01182
1.448E-4	0.01177
1.443E-4	0.01172
1.435E-4	0.01166
1.424E-4	0.01172
1.424E-4	0.01172
1.412E-4	0.0117
1.409E-4	0.01164
1.399E-4	0.0116
1.394E-4	0.01156
1.386E-4	0.01151
1.378E-4	0.01148
1.369E-4	0.01148
1.358E-4	0.01147
1.357E-4	0.01145
1.349E-4	0.01142
1.338E-4	0.01136
1.33E-4	0.01131
1.328E-4	0.01128
1.317E-4	0.01128
1.311E-4	0.01132
1.304E-4	0.01126
1.295E-4	0.01131
1.288E-4	0.01127
1.281E-4	0.01126
1.272E-4	0.01139
1.269E-4	0.01142
1.255E-4	0.01142
1.248E-4	0.01153
1.241E-4	0.01156
1.236E-4	0.01168
1.226E-4	0.01186
1.224E-4	0.01196
1.217E-4	0.01202
1.204E-4	0.01219
1.2E-4	0.01234
1.194E-4	0.01241
1.187E-4	0.01249
1.179E-4	0.01255
1.172E-4	0.01267
1.17E-4	0.01278
1.158E-4	0.01289
1.158E-4	0.01294
1.149E-4	0.01302
1.14E-4	0.01303
1.134E-4	0.01304
1.126E-4	0.01308
1.12E-4	0.01312
1.114E-4	0.0132
1.11E-4	0.01323
1.104E-4	0.01322
1.094E-4	0.01326
1.092E-4	0.01332
1.084E-4	0.0134
1.076E-4	0.01345
1.076E-4	0.01338
1.068E-4	0.01336
1.06E-4	0.01338
1.055E-4	0.01336
1.05E-4	0.01339
1.038E-4	0.01341
1.029E-4	0.01334
1.024E-4	0.01329
1.026E-4	0.01335
1.012E-4	0.01328
1.002E-4	0.01332
9.98E-5	0.01336
9.97E-5	0.01334
9.83E-5	0.01338
9.84E-5	0.0133
9.75E-5	0.01331
9.67E-5	0.0133
9.63E-5	0.01328
9.57E-5	0.01318
9.51E-5	0.01309
9.43E-5	0.01302
9.36E-5	0.01296
9.32E-5	0.0129
9.25E-5	0.01279
9.16E-5	0.01276
9.11E-5	0.0128
9.04E-5	0.01277
8.93E-5	0.01268
8.92E-5	0.01263
8.83E-5	0.01257
8.71E-5	0.01256
8.7E-5	0.01249
8.65E-5	0.01242
8.55E-5	0.01227
8.47E-5	0.01221
8.44E-5	0.01209
8.33E-5	0.01195
8.28E-5	0.01183
8.15E-5	0.01171
8.07E-5	0.01168
8.08E-5	0.01165
7.93E-5	0.01151
7.92E-5	0.01147
7.86E-5	0.01136
7.75E-5	0.01132
7.67E-5	0.01124
7.58E-5	0.01112
7.51E-5	0.01102
7.46E-5	0.01097
7.39E-5	0.01087
7.22E-5	0.01073
7.2E-5	0.01068
7.14E-5	0.01053
7.01E-5	0.01044
6.93E-5	0.01028
6.87E-5	0.01007
6.75E-5	0.00987
6.65E-5	0.00964
6.6E-5	0.00931
6.51E-5	0.00905
6.33E-5	0.00885
6.35E-5	0.00852
6.05E-5	0.00821
6.09E-5	0.00779
5.88E-5	0.0074
5.77E-5	0.00704
5.73E-5	0.0068
5.58E-5	0.00655
5.41E-5	0.00626
5.27E-5	0.00606
5.13E-5	0.00593
4.9E-5	0.00581
4.88E-5	0.00577
4.73E-5	0.00582
4.58E-5	0.00595
4.52E-5	0.00617
4.35E-5	0.00648
4.21E-5	0.00688
4.13E-5	0.00741
4.05E-5	0.00839
3.99E-5	0.0093
3.93E-5	0.01027
3.85E-5	0.0115
3.75E-5	0.01284
3.76E-5	0.01426
3.67E-5	0.01613
3.66E-5	0.01741
3.6E-5	0.01861
3.54E-5	0.01991
3.51E-5	0.02074
3.46E-5	0.02134
3.43E-5	0.02209
3.38E-5	0.02237
3.37E-5	0.02293
3.32E-5	0.02348
3.26E-5	0.02337
3.27E-5	0.0241
3.2E-5	0.02406
3.21E-5	0.02392
3.13E-5	0.02429
3.11E-5	0.0247
3.03E-5	0.0245
3.03E-5	0.02466
3.02E-5	0.02481
2.96E-5	0.02477
2.9E-5	0.0251
2.87E-5	0.025
2.89E-5	0.02477
2.85E-5	0.02484
2.8E-5	0.02503
2.77E-5	0.02538
2.75E-5	0.02575
2.7E-5	0.02543
2.66E-5	0.0251
2.61E-5	0.02538
2.59E-5	0.02559
2.56E-5	0.0253
2.54E-5	0.02545
2.48E-5	0.02541
2.52E-5	0.02557
2.42E-5	0.02576
2.4E-5	0.02585
2.36E-5	0.02592
2.34E-5	0.02601
2.32E-5	0.02593
2.26E-5	0.02618
2.28E-5	0.02622
2.18E-5	0.02643
2.18E-5	0.02637
2.11E-5	0.02617
2.11E-5	0.02599
2.05E-5	0.02606
2.05E-5	0.02592
2.01E-5	0.02597
1.99E-5	0.02625
1.93E-5	0.02631
1.9E-5	0.02639
1.85E-5	0.02647
1.86E-5	0.0261
1.79E-5	0.026
1.76E-5	0.02638
1.72E-5	0.02628
1.71E-5	0.02631
1.68E-5	0.02593
1.65E-5	0.02587
1.59E-5	0.02596
1.54E-5	0.02613
1.55E-5	0.02596
1.51E-5	0.0261
1.46E-5	0.02613
1.44E-5	0.02604
1.41E-5	0.02603
1.41E-5	0.02587
1.33E-5	0.02574
1.31E-5	0.02623
1.29E-5	0.02623
1.25E-5	0.02646
1.24E-5	0.02629
1.21E-5	0.02615
1.14E-5	0.02613
1.11E-5	0.02616
1.11E-5	0.02626
1.02E-5	0.0264
1E-5	0.02624
9.9E-6	0.02603
9.4E-6	0.02612
9E-6	0.02631
8.8E-6	0.0263
8.6E-6	0.02599
7.7E-6	0.02613
8E-6	0.02596
7.1E-6	0.02599
7.1E-6	0.02556
6.8E-6	0.02577
6.4E-6	0.02591
6E-6	0.02591
5.9E-6	0.02569
5.8E-6	0.02539
5.3E-6	0.02583
5E-6	0.02597
4E-6	0.02583
4.4E-6	0.02599
4E-6	0.02582
3.7E-6	0.02608
3.3E-6	0.02625
2.9E-6	0.02643
2.3E-6	0.02675
2.5E-6	0.02679
2.2E-6	0.02704
1.5E-6	0.02723
1.5E-6	0.0272
9E-7	0.02742
2E-7	0.02761
3E-7	0.02757
1.6E-6	0.0276
1.1E-6	0.0275
5E-7	0.02757
2E-7	0.02759
0	0.02768
-2E-7	0.02742
-5E-7	0.02758
-1.1E-6	0.02751
-1.2E-6	0.02755
-1.7E-6	0.02752
-1.8E-6	0.02711
-2.3E-6	0.02662
-2.1E-6	0.02636
-2.8E-6	0.02644
-3.3E-6	0.0262
-3.3E-6	0.02612
-4E-6	0.0259
-4E-6	0.02562
-4.3E-6	0.02565
-4.5E-6	0.02571
-4.9E-6	0.0257
-5.5E-6	0.02575
-5.7E-6	0.0258
-6E-6	0.02575
-6.6E-6	0.02552
-6.6E-6	0.02585
-6.8E-6	0.02586
-7.1E-6	0.02601
-7.6E-6	0.0261
-7.9E-6	0.02632
-8.6E-6	0.02628
-8.3E-6	0.02634
-9.1E-6	0.02618
-9.4E-6	0.02597
-9.6E-6	0.02589
-9.7E-6	0.02613
-9.9E-6	0.0262
-1.04E-5	0.02616
-1.08E-5	0.02643
-1.12E-5	0.02619
-1.17E-5	0.02601
-1.21E-5	0.02602
-1.19E-5	0.02623
-1.21E-5	0.02635
-1.29E-5	0.02627
-1.32E-5	0.02592
-1.36E-5	0.02601
-1.4E-5	0.02606
-1.43E-5	0.02597
-1.46E-5	0.02602
-1.48E-5	0.02592
-1.53E-5	0.02571
-1.51E-5	0.02585
-1.65E-5	0.02599
-1.58E-5	0.02594
-1.66E-5	0.02599
-1.68E-5	0.0263
-1.74E-5	0.02638
-1.77E-5	0.02625
-1.77E-5	0.02625
-1.81E-5	0.02606
-1.83E-5	0.02619
-1.87E-5	0.02626
-1.89E-5	0.02619
-1.95E-5	0.02599
-1.99E-5	0.02588
-2E-5	0.02585
-2.04E-5	0.02596
-2.07E-5	0.02585
-2.12E-5	0.02606
-2.15E-5	0.02612
-2.19E-5	0.0262
-2.23E-5	0.02598
-2.23E-5	0.02582
-2.29E-5	0.02589
-2.32E-5	0.02564
-2.35E-5	0.0256
-2.38E-5	0.02599
-2.41E-5	0.02601
-2.45E-5	0.0259
-2.47E-5	0.02576
-2.49E-5	0.02592
-2.57E-5	0.02579
-2.58E-5	0.02554
-2.6E-5	0.02532
-2.68E-5	0.0253
-2.67E-5	0.02553
-2.71E-5	0.02543
-2.76E-5	0.02501
-2.72E-5	0.02487
-2.84E-5	0.02476
-2.86E-5	0.02488
-2.89E-5	0.02509
-2.96E-5	0.02457
-2.99E-5	0.02452
-3.03E-5	0.02453
-3.04E-5	0.02408
-3.09E-5	0.02415
-3.12E-5	0.02406
-3.16E-5	0.02379
-3.18E-5	0.024
-3.26E-5	0.02387
-3.24E-5	0.0235
-3.29E-5	0.02326
-3.35E-5	0.02264
-3.39E-5	0.02225
-3.42E-5	0.02196
-3.46E-5	0.02107
-3.54E-5	0.02035
-3.55E-5	0.01921
-3.6E-5	0.0178
-3.68E-5	0.01671
-3.7E-5	0.01527
-3.85E-5	0.01357
-3.88E-5	0.01232
-4.01E-5	0.01122
-4.16E-5	0.01003
-4.21E-5	0.00906
-4.33E-5	0.00804
-4.46E-5	0.00742
-4.59E-5	0.00701
-4.66E-5	0.00658
-4.91E-5	0.00631
-5.01E-5	0.00613
-5.14E-5	0.00601
-5.3E-5	0.00602
-5.35E-5	0.00609
-5.53E-5	0.00617
-5.65E-5	0.00633
-5.78E-5	0.00653
