A	B
1.823E-4	0.01205
1.822E-4	0.01215
1.811E-4	0.01219
1.807E-4	0.01212
1.795E-4	0.01209
1.788E-4	0.01207
1.786E-4	0.01207
1.771E-4	0.01207
1.772E-4	0.0121
1.766E-4	0.01211
1.754E-4	0.01211
1.748E-4	0.01205
1.741E-4	0.01205
1.739E-4	0.01207
1.725E-4	0.01212
1.724E-4	0.01209
1.715E-4	0.01205
1.705E-4	0.01204
1.699E-4	0.01202
1.689E-4	0.012
1.689E-4	0.012
1.672E-4	0.01198
1.673E-4	0.01199
1.663E-4	0.012
1.659E-4	0.01201
1.645E-4	0.012
1.645E-4	0.012
1.637E-4	0.01202
1.628E-4	0.01202
1.625E-4	0.01196
1.609E-4	0.01194
1.61E-4	0.01193
1.6E-4	0.0119
1.589E-4	0.01193
1.584E-4	0.0119
1.579E-4	0.01188
1.572E-4	0.01184
1.563E-4	0.01184
1.557E-4	0.01172
1.543E-4	0.01179
1.542E-4	0.01178
1.539E-4	0.01176
1.527E-4	0.01174
1.518E-4	0.01176
1.515E-4	0.01177
1.504E-4	0.01174
1.496E-4	0.01172
1.493E-4	0.01171
1.483E-4	0.01167
1.476E-4	0.01167
1.466E-4	0.0117
1.462E-4	0.01161
1.453E-4	0.01163
1.448E-4	0.01165
1.442E-4	0.01163
1.431E-4	0.01158
1.427E-4	0.01153
1.419E-4	0.0115
1.408E-4	0.01147
1.406E-4	0.01141
1.396E-4	0.01137
1.388E-4	0.01134
1.38E-4	0.01134
1.374E-4	0.0113
1.369E-4	0.01123
1.358E-4	0.01119
1.35E-4	0.01117
1.338E-4	0.01122
1.34E-4	0.01115
1.323E-4	0.01119
1.321E-4	0.01118
1.313E-4	0.0112
1.305E-4	0.01127
1.3E-4	0.01129
1.287E-4	0.01136
1.281E-4	0.01145
1.275E-4	0.01147
1.265E-4	0.01155
1.259E-4	0.01166
1.255E-4	0.0118
1.252E-4	0.01191
1.238E-4	0.01207
1.235E-4	0.01218
1.225E-4	0.01233
1.22E-4	0.01248
1.212E-4	0.01257
1.206E-4	0.01255
1.202E-4	0.01269
1.191E-4	0.01276
1.187E-4	0.01287
1.174E-4	0.0129
1.175E-4	0.01296
1.165E-4	0.01293
1.163E-4	0.01309
1.156E-4	0.01312
1.14E-4	0.01318
1.139E-4	0.01316
1.131E-4	0.01317
1.128E-4	0.01329
1.121E-4	0.01329
1.116E-4	0.01342
1.11E-4	0.01346
1.102E-4	0.01348
1.095E-4	0.01342
1.086E-4	0.01339
1.083E-4	0.01338
1.074E-4	0.01332
1.067E-4	0.01332
1.062E-4	0.01334
1.051E-4	0.0133
1.049E-4	0.01332
1.042E-4	0.01332
1.034E-4	0.01337
1.029E-4	0.01334
1.026E-4	0.01329
1.016E-4	0.01326
1.013E-4	0.01327
1.006E-4	0.01321
9.92E-5	0.0132
9.92E-5	0.01315
9.81E-5	0.01311
9.76E-5	0.01309
9.74E-5	0.01304
9.63E-5	0.01297
9.57E-5	0.01297
9.54E-5	0.01291
9.43E-5	0.01284
9.36E-5	0.01274
9.29E-5	0.01275
9.27E-5	0.01267
9.15E-5	0.01261
9.13E-5	0.01253
9.03E-5	0.01242
8.96E-5	0.01235
8.9E-5	0.01225
8.81E-5	0.01213
8.78E-5	0.01206
8.69E-5	0.012
8.59E-5	0.01197
8.53E-5	0.01186
8.49E-5	0.01174
8.35E-5	0.01154
8.32E-5	0.01142
8.24E-5	0.01136
8.12E-5	0.0113
8.11E-5	0.01118
7.99E-5	0.011
7.9E-5	0.01089
7.83E-5	0.01076
7.73E-5	0.01061
7.72E-5	0.01058
7.61E-5	0.01047
7.51E-5	0.01023
7.37E-5	0.01014
7.36E-5	0.00985
7.17E-5	0.0096
7.08E-5	0.00934
7.02E-5	0.00904
6.9E-5	0.00856
6.82E-5	0.00816
6.68E-5	0.00767
6.54E-5	0.00713
