A	B
1.821E-4	0.01217
1.818E-4	0.01217
1.81E-4	0.01217
1.802E-4	0.01214
1.792E-4	0.01214
1.793E-4	0.01212
1.784E-4	0.01209
1.766E-4	0.01211
1.773E-4	0.01205
1.76E-4	0.01211
1.756E-4	0.01211
1.747E-4	0.01209
1.739E-4	0.01209
1.737E-4	0.01203
1.729E-4	0.01198
1.717E-4	0.012
1.708E-4	0.01206
1.707E-4	0.01215
1.693E-4	0.01211
1.693E-4	0.01209
1.689E-4	0.01202
1.674E-4	0.01197
1.67E-4	0.01201
1.661E-4	0.01203
1.656E-4	0.01207
1.649E-4	0.01202
1.639E-4	0.01203
1.634E-4	0.01203
1.623E-4	0.012
1.622E-4	0.01194
1.608E-4	0.01202
1.609E-4	0.01206
1.598E-4	0.01199
1.594E-4	0.01199
1.584E-4	0.0119
1.573E-4	0.01189
1.57E-4	0.01186
1.562E-4	0.01186
1.558E-4	0.01191
1.544E-4	0.01188
1.542E-4	0.01192
1.533E-4	0.01184
1.527E-4	0.01185
1.522E-4	0.01182
1.517E-4	0.01179
1.503E-4	0.01182
1.498E-4	0.01181
1.488E-4	0.01182
1.48E-4	0.01184
1.478E-4	0.01172
1.47E-4	0.01169
1.456E-4	0.01165
1.458E-4	0.01163
1.443E-4	0.01164
1.445E-4	0.01162
1.431E-4	0.01159
1.426E-4	0.01158
1.421E-4	0.01152
1.409E-4	0.01151
1.405E-4	0.01148
1.387E-4	0.01147
1.389E-4	0.01141
1.376E-4	0.01143
1.375E-4	0.01141
1.369E-4	0.01134
1.354E-4	0.01135
1.347E-4	0.01129
1.341E-4	0.01124
1.334E-4	0.01123
1.327E-4	0.01117
1.317E-4	0.01118
1.32E-4	0.01119
1.303E-4	0.0112
1.298E-4	0.01123
1.29E-4	0.01129
1.281E-4	0.01125
1.271E-4	0.01138
1.268E-4	0.01148
1.265E-4	0.01157
1.251E-4	0.01166
1.247E-4	0.0118
1.239E-4	0.01191
1.229E-4	0.01202
1.222E-4	0.01213
1.217E-4	0.01226
1.211E-4	0.0124
1.204E-4	0.01243
1.198E-4	0.01255
1.186E-4	0.0127
1.187E-4	0.01281
1.18E-4	0.01279
1.172E-4	0.01284
1.169E-4	0.01293
1.156E-4	0.013
1.156E-4	0.01307
1.143E-4	0.01313
1.138E-4	0.01317
1.128E-4	0.01324
1.126E-4	0.01324
1.116E-4	0.01327
1.116E-4	0.01325
1.106E-4	0.01332
1.098E-4	0.0134
1.096E-4	0.01339
1.084E-4	0.01343
1.082E-4	0.01341
1.076E-4	0.01338
1.074E-4	0.01338
1.063E-4	0.01337
1.057E-4	0.0133
1.053E-4	0.01333
1.042E-4	0.01337
1.037E-4	0.01335
1.029E-4	0.01339
1.021E-4	0.01341
1.02E-4	0.01339
1.014E-4	0.01331
1.001E-4	0.01325
9.97E-5	0.01317
9.91E-5	0.01314
9.83E-5	0.01314
9.8E-5	0.0131
9.74E-5	0.01305
9.63E-5	0.01293
9.61E-5	0.01291
9.52E-5	0.01284
9.45E-5	0.01285
9.39E-5	0.01286
9.4E-5	0.01278
9.28E-5	0.01275
9.16E-5	0.0127
9.11E-5	0.01256
9.05E-5	0.01256
9E-5	0.01246
8.91E-5	0.01238
8.84E-5	0.01235
8.83E-5	0.01227
8.67E-5	0.01215
8.6E-5	0.01209
8.57E-5	0.01194
8.51E-5	0.01183
8.4E-5	0.01176
8.36E-5	0.01168
8.29E-5	0.01156
8.16E-5	0.01147
8.16E-5	0.01137
8.02E-5	0.01128
7.97E-5	0.0112
7.86E-5	0.01102
7.81E-5	0.01089
7.74E-5	0.01084
7.66E-5	0.01076
7.59E-5	0.0106
7.45E-5	0.01051
7.42E-5	0.01047
7.29E-5	0.01024
7.21E-5	0.01004
7.12E-5	0.00985
7.02E-5	0.0096
6.98E-5	0.00946
6.84E-5	0.00924
6.75E-5	0.00881
6.61E-5	0.00842
6.55E-5	0.00791
