A	B
1.827E-4	0.0121
1.816E-4	0.01209
1.809E-4	0.01209
1.804E-4	0.01207
1.791E-4	0.01209
1.794E-4	0.01212
1.788E-4	0.01211
1.776E-4	0.01213
1.771E-4	0.01202
1.763E-4	0.01191
1.758E-4	0.01199
1.749E-4	0.01199
1.742E-4	0.0119
1.734E-4	0.01196
1.728E-4	0.01201
1.723E-4	0.01207
1.708E-4	0.01207
1.707E-4	0.01197
1.694E-4	0.01193
1.686E-4	0.01202
1.686E-4	0.01201
1.677E-4	0.01202
1.67E-4	0.01202
1.662E-4	0.01196
1.656E-4	0.01201
1.648E-4	0.01202
1.647E-4	0.01196
1.633E-4	0.01195
1.625E-4	0.01193
1.622E-4	0.01192
1.608E-4	0.01188
1.607E-4	0.0119
1.598E-4	0.01179
1.58E-4	0.01185
1.585E-4	0.01187
1.579E-4	0.01186
1.568E-4	0.0119
1.559E-4	0.01184
1.556E-4	0.01183
1.544E-4	0.01175
1.542E-4	0.01175
1.535E-4	0.01179
1.527E-4	0.01175
1.521E-4	0.01176
1.508E-4	0.01171
1.504E-4	0.01167
1.494E-4	0.01162
1.486E-4	0.01161
1.48E-4	0.01165
1.479E-4	0.01162
1.463E-4	0.01162
1.462E-4	0.01161
1.456E-4	0.01159
1.443E-4	0.01153
1.441E-4	0.01152
1.431E-4	0.01155
1.425E-4	0.01156
1.419E-4	0.01155
1.412E-4	0.01148
1.401E-4	0.01141
1.395E-4	0.01137
1.388E-4	0.01135
1.38E-4	0.01133
1.376E-4	0.01128
1.363E-4	0.01128
1.358E-4	0.01123
1.352E-4	0.01117
1.337E-4	0.01116
1.337E-4	0.01117
1.323E-4	0.01119
1.32E-4	0.01122
1.314E-4	0.01116
1.303E-4	0.01123
1.302E-4	0.01131
1.287E-4	0.01137
1.28E-4	0.01143
1.274E-4	0.01151
1.267E-4	0.01158
1.259E-4	0.0116
1.257E-4	0.01176
1.248E-4	0.01193
1.234E-4	0.0121
1.235E-4	0.01218
1.224E-4	0.01227
1.215E-4	0.01244
1.213E-4	0.01249
1.201E-4	0.01258
1.198E-4	0.0127
1.192E-4	0.0128
1.185E-4	0.01283
1.175E-4	0.0129
1.174E-4	0.01294
1.166E-4	0.01305
1.156E-4	0.01309
1.155E-4	0.01305
1.145E-4	0.01311
1.141E-4	0.01328
1.134E-4	0.01323
1.126E-4	0.0132
1.118E-4	0.01328
1.116E-4	0.01334
1.108E-4	0.01335
1.102E-4	0.01329
1.098E-4	0.01335
1.087E-4	0.01338
1.085E-4	0.01342
1.076E-4	0.01341
1.068E-4	0.01342
1.065E-4	0.01334
1.058E-4	0.01329
1.052E-4	0.01334
1.046E-4	0.01336
1.036E-4	0.01332
1.031E-4	0.01337
1.027E-4	0.01322
1.021E-4	0.01319
1.011E-4	0.01318
1.009E-4	0.01314
9.96E-5	0.0131
9.9E-5	0.01301
9.88E-5	0.01299
9.8E-5	0.01298
9.72E-5	0.01303
9.69E-5	0.013
9.61E-5	0.013
9.51E-5	0.01291
9.51E-5	0.0128
9.38E-5	0.01274
9.34E-5	0.01272
9.26E-5	0.01263
9.17E-5	0.01261
9.14E-5	0.01256
9.06E-5	0.01245
8.98E-5	0.0124
8.89E-5	0.01232
8.83E-5	0.01216
8.78E-5	0.01207
8.74E-5	0.01201
8.63E-5	0.01189
8.53E-5	0.01181
8.5E-5	0.0117
8.38E-5	0.01159
8.31E-5	0.01147
8.3E-5	0.01133
8.15E-5	0.01118
8.13E-5	0.0111
8.01E-5	0.01105
7.92E-5	0.01087
7.83E-5	0.01072
7.79E-5	0.01061
7.66E-5	0.01048
7.64E-5	0.01031
7.55E-5	0.01017
7.42E-5	0.01004
7.36E-5	0.00981
7.22E-5	0.0096
7.15E-5	0.00939
7.05E-5	0.00906
6.93E-5	0.00862
6.89E-5	0.0082
6.7E-5	0.0078
6.58E-5	0.00722
6.44E-5	0.00667
6.32E-5	0.00616
6.06E-5	0.00582
6E-5	0.00546
5.88E-5	0.00521
5.58E-5	0.00504
5.57E-5	0.00481
5.23E-5	0.00467
5.15E-5	0.00465
4.98E-5	0.00478
4.79E-5	0.00514
4.74E-5	0.00552
4.61E-5	0.00595
4.47E-5	0.00672
4.38E-5	0.00742
4.35E-5	0.00848
4.21E-5	0.0097
4.19E-5	0.0111
4.19E-5	0.01273
4.05E-5	0.01469
4.02E-5	0.01654
3.97E-5	0.01827
3.94E-5	0.02024
3.88E-5	0.0213
3.84E-5	0.02232
3.83E-5	0.02306
3.78E-5	0.02318
3.75E-5	0.02377
3.66E-5	0.02429
3.71E-5	0.02407
3.6E-5	0.02406
3.6E-5	0.02413
3.57E-5	0.02425
3.52E-5	0.02503
3.47E-5	0.02537
3.47E-5	0.02515
3.4E-5	0.02508
3.36E-5	0.02485
3.35E-5	0.02495
3.28E-5	0.02539
3.28E-5	0.02533
3.25E-5	0.02533
3.2E-5	0.02548
3.2E-5	0.02557
3.14E-5	0.02577
3.1E-5	0.0259
3.1E-5	0.02574
3.06E-5	0.02602
3.01E-5	0.02615
2.95E-5	0.0259
2.95E-5	0.02595
2.9E-5	0.02612
2.87E-5	0.02617
2.83E-5	0.02662
2.81E-5	0.02633
2.79E-5	0.02625
2.76E-5	0.0262
2.69E-5	0.02627
2.66E-5	0.02614
2.66E-5	0.02613
2.59E-5	0.02617
2.57E-5	0.02638
2.58E-5	0.02648
2.5E-5	0.02643
2.5E-5	0.02619
2.44E-5	0.02599
2.4E-5	0.02609
2.36E-5	0.02653
2.33E-5	0.0268
2.27E-5	0.02694
2.3E-5	0.02683
2.3E-5	0.02655
2.2E-5	0.02648
2.2E-5	0.02648
2.13E-5	0.02639
2.13E-5	0.02629
2.09E-5	0.02619
2.03E-5	0.02638
2.03E-5	0.02642
1.99E-5	0.02652
1.95E-5	0.02659
1.94E-5	0.02649
1.91E-5	0.02627
1.85E-5	0.02627
1.83E-5	0.02632
1.8E-5	0.02634
1.73E-5	0.02617
1.76E-5	0.02616
1.67E-5	0.02633
1.67E-5	0.02678
1.66E-5	0.02645
1.57E-5	0.02633
1.56E-5	0.02635
1.53E-5	0.02646
1.44E-5	0.02623
1.43E-5	0.026
1.42E-5	0.02601
1.36E-5	0.02614
1.33E-5	0.02601
1.33E-5	0.02604
1.25E-5	0.02615
1.24E-5	0.0257
1.2E-5	0.02547
