A	B
1.83E-4	0.01222
1.828E-4	0.01223
1.816E-4	0.01224
1.811E-4	0.01229
1.803E-4	0.01226
1.798E-4	0.01225
1.792E-4	0.01226
1.785E-4	0.01231
1.776E-4	0.01224
1.769E-4	0.01236
1.766E-4	0.0123
1.755E-4	0.01223
1.748E-4	0.01224
1.746E-4	0.01223
1.734E-4	0.01222
1.727E-4	0.01223
1.718E-4	0.0122
1.713E-4	0.01216
1.702E-4	0.01222
1.7E-4	0.01221
1.689E-4	0.01225
1.686E-4	0.01225
1.681E-4	0.01223
1.661E-4	0.0122
1.668E-4	0.01219
1.654E-4	0.01215
1.651E-4	0.01223
1.644E-4	0.01214
1.637E-4	0.01213
1.636E-4	0.01218
1.62E-4	0.01219
1.614E-4	0.01218
1.606E-4	0.01217
1.598E-4	0.01212
1.596E-4	0.01214
1.586E-4	0.01214
1.583E-4	0.01212
1.571E-4	0.01224
1.567E-4	0.01216
1.559E-4	0.01217
1.556E-4	0.01208
1.546E-4	0.01207
1.538E-4	0.01207
1.533E-4	0.01205
1.523E-4	0.01208
1.519E-4	0.01205
1.51E-4	0.01202
1.503E-4	0.01205
1.498E-4	0.01204
1.488E-4	0.0121
1.486E-4	0.01206
1.478E-4	0.01203
1.469E-4	0.01199
1.466E-4	0.01202
1.461E-4	0.01202
1.446E-4	0.01201
1.443E-4	0.012
1.439E-4	0.012
1.426E-4	0.01195
1.42E-4	0.01191
1.414E-4	0.01185
1.405E-4	0.01183
1.392E-4	0.01185
1.388E-4	0.01187
1.384E-4	0.01189
1.376E-4	0.01189
1.372E-4	0.01188
1.36E-4	0.01179
1.358E-4	0.01178
1.345E-4	0.01178
1.34E-4	0.01184
1.339E-4	0.01175
1.324E-4	0.01179
1.32E-4	0.01181
1.312E-4	0.01175
1.302E-4	0.01172
1.293E-4	0.01166
1.292E-4	0.01154
1.284E-4	0.01152
1.274E-4	0.01155
1.27E-4	0.01153
1.257E-4	0.01156
1.254E-4	0.01155
1.244E-4	0.01152
1.236E-4	0.0115
1.232E-4	0.01154
1.22E-4	0.01161
1.213E-4	0.01164
1.209E-4	0.01163
1.2E-4	0.01171
1.187E-4	0.01179
1.188E-4	0.01194
1.183E-4	0.01199
1.17E-4	0.01208
1.168E-4	0.0122
1.159E-4	0.01229
1.156E-4	0.01239
1.15E-4	0.01246
1.147E-4	0.01262
1.127E-4	0.01275
1.126E-4	0.01286
1.124E-4	0.01301
1.111E-4	0.01306
1.109E-4	0.01304
1.103E-4	0.01308
1.093E-4	0.01309
1.086E-4	0.01306
1.083E-4	0.0131
1.077E-4	0.01319
1.067E-4	0.01324
1.06E-4	0.01327
1.054E-4	0.01328
1.052E-4	0.01337
1.041E-4	0.0134
1.038E-4	0.01341
1.03E-4	0.01331
1.025E-4	0.01328
1.018E-4	0.01344
1.013E-4	0.01348
1.002E-4	0.01342
9.94E-5	0.01345
9.96E-5	0.01349
9.87E-5	0.01337
9.77E-5	0.01335
9.77E-5	0.01329
9.66E-5	0.01332
9.62E-5	0.01336
9.54E-5	0.01334
9.48E-5	0.01328
9.39E-5	0.01328
9.36E-5	0.01319
9.32E-5	0.01318
9.21E-5	0.01324
9.2E-5	0.01318
9.07E-5	0.01312
9.05E-5	0.01304
8.98E-5	0.01299
8.85E-5	0.01296
8.85E-5	0.013
8.74E-5	0.01296
8.67E-5	0.01293
8.63E-5	0.01291
8.57E-5	0.01286
8.5E-5	0.0128
8.45E-5	0.01278
8.4E-5	0.01273
8.26E-5	0.01271
8.24E-5	0.01257
8.1E-5	0.01245
8.12E-5	0.01234
8.07E-5	0.0123
7.91E-5	0.01232
7.89E-5	0.01228
7.82E-5	0.01214
7.73E-5	0.01208
7.62E-5	0.01207
7.62E-5	0.012
7.48E-5	0.01193
7.45E-5	0.01189
7.4E-5	0.01186
7.28E-5	0.01189
7.26E-5	0.01177
7.14E-5	0.01171
7.14E-5	0.01163
7.02E-5	0.01163
6.91E-5	0.01161
6.9E-5	0.01162
6.8E-5	0.01148
6.71E-5	0.01138
6.63E-5	0.01132
6.54E-5	0.01118
6.43E-5	0.01108
6.41E-5	0.01096
6.32E-5	0.01073
6.22E-5	0.0106
6.17E-5	0.01045
6.1E-5	0.0103
6.01E-5	0.0101
5.86E-5	0.00991
5.8E-5	0.00967
5.72E-5	0.00955
5.59E-5	0.00942
5.53E-5	0.00924
5.41E-5	0.00904
5.32E-5	0.00884
5.24E-5	0.00861
5.17E-5	0.00845
5.02E-5	0.00825
5E-5	0.00809
4.84E-5	0.00795
4.77E-5	0.00783
4.65E-5	0.00773
4.43E-5	0.00773
4.45E-5	0.00771
4.36E-5	0.00778
4.19E-5	0.00787
4.21E-5	0.00802
4E-5	0.0083
3.91E-5	0.00865
3.85E-5	0.009
3.77E-5	0.00948
3.69E-5	0.00987
3.64E-5	0.01036
3.58E-5	0.0112
3.48E-5	0.01193
3.47E-5	0.01261
3.34E-5	0.01363
3.32E-5	0.01441
3.24E-5	0.01518
3.22E-5	0.01605
3.18E-5	0.01662
3.12E-5	0.01737
3.08E-5	0.01837
3.03E-5	0.01892
2.98E-5	0.01966
2.89E-5	0.02026
2.94E-5	0.02071
2.88E-5	0.02133
2.8E-5	0.02174
2.8E-5	0.02202
2.74E-5	0.02249
2.68E-5	0.0228
2.68E-5	0.02274
2.58E-5	0.02318
2.61E-5	0.02325
2.55E-5	0.02347
2.53E-5	0.02388
2.49E-5	0.02386
2.48E-5	0.0237
2.4E-5	0.02415
2.35E-5	0.02409
2.35E-5	0.02431
2.29E-5	0.02441
2.31E-5	0.02425
2.25E-5	0.02442
2.15E-5	0.02455
2.22E-5	0.02456
2.1E-5	0.02451
2.12E-5	0.02456
2.08E-5	0.02493
2.05E-5	0.02522
2.02E-5	0.0252
2.01E-5	0.02519
1.94E-5	0.02538
1.9E-5	0.02549
1.86E-5	0.02532
1.83E-5	0.02523
1.85E-5	0.0252
1.76E-5	0.02548
1.76E-5	0.02559
1.75E-5	0.02554
1.7E-5	0.02561
1.64E-5	0.02561
1.62E-5	0.02552
1.6E-5	0.02594
1.52E-5	0.0257
1.53E-5	0.02568
1.5E-5	0.02578
1.41E-5	0.02604
1.41E-5	0.02597
1.37E-5	0.02587
1.36E-5	0.02595
1.34E-5	0.02575
1.28E-5	0.02597
1.25E-5	0.02613
1.23E-5	0.02625
1.16E-5	0.02604
1.14E-5	0.02583
1.09E-5	0.02564
1.06E-5	0.02589
1.05E-5	0.02595
1.01E-5	0.02605
9.6E-6	0.02605
9.5E-6	0.02625
9.1E-6	0.02603
8.7E-6	0.02594
8.4E-6	0.02587
8.5E-6	0.02594
7.5E-6	0.02601
7.6E-6	0.02597
6.9E-6	0.02585
6.8E-6	0.0261
6.7E-6	0.02624
6.1E-6	0.02632
5.7E-6	0.02624
5.6E-6	0.02582
5.1E-6	0.02573
4.3E-6	0.02587
4.6E-6	0.02628
3.9E-6	0.02621
3.9E-6	0.02614
3.3E-6	0.02622
2.8E-6	0.02645
2.7E-6	0.02648
2.4E-6	0.02637
2.1E-6	0.0265
1.7E-6	0.02645
1.5E-6	0.02634
1.1E-6	0.02662
1.4E-6	0.02658
7E-7	0.02663
1.4E-6	0.02708
1.1E-6	0.02684
7E-7	0.02634
4E-7	0.02652
5E-7	0.02659
0	0.02661
-6E-7	0.02658
-1.1E-6	0.02656
-1.1E-6	0.02667
-1.3E-6	0.02658
-1.9E-6	0.02642
-2.2E-6	0.02615
-2.2E-6	0.02617
-2.6E-6	0.02606
-2.9E-6	0.02624
-3.2E-6	0.02668
-3.9E-6	0.02679
-4E-6	0.02662
-4.7E-6	0.0264
-4.4E-6	0.02616
-5.2E-6	0.02617
-5.3E-6	0.02613
-5.8E-6	0.02613
-6.2E-6	0.02614
-6.7E-6	0.02605
-6.8E-6	0.02612
-7.1E-6	0.02615
-7.5E-6	0.02609
-7.5E-6	0.02611
-8.4E-6	0.0262
-8.4E-6	0.02612
-8.6E-6	0.02602
-9.5E-6	0.02572
-9.5E-6	0.0258
-9.8E-6	0.02598
-1.06E-5	0.0259
-1.03E-5	0.026
-1.07E-5	0.02587
-1.09E-5	0.02595
-1.18E-5	0.02598
-1.15E-5	0.02585
-1.23E-5	0.0257
-1.23E-5	0.02553
-1.25E-5	0.02563
-1.34E-5	0.02557
-1.37E-5	0.02543
-1.39E-5	0.02558
-1.4E-5	0.02542
-1.44E-5	0.02548
-1.48E-5	0.02569
-1.5E-5	0.02575
-1.55E-5	0.02557
-1.54E-5	0.02563
-1.62E-5	0.02568
-1.65E-5	0.02556
-1.69E-5	0.02566
-1.72E-5	0.02549
-1.75E-5	0.02541
-1.79E-5	0.02523
-1.83E-5	0.0253
-1.85E-5	0.0252
-1.86E-5	0.02501
-1.92E-5	0.02512
-1.93E-5	0.02504
-2.01E-5	0.02494
-2.03E-5	0.02485
-2.03E-5	0.02465
-2.11E-5	0.02468
-2.12E-5	0.02497
-2.15E-5	0.02458
-2.21E-5	0.02436
-2.23E-5	0.0243
-2.25E-5	0.02418
-2.31E-5	0.02406
-2.3E-5	0.02418
-2.32E-5	0.0242
-2.42E-5	0.0238
-2.45E-5	0.02373
-2.48E-5	0.02349
-2.53E-5	0.02343
-2.56E-5	0.02343
-2.59E-5	0.02313
-2.62E-5	0.02279
-2.68E-5	0.02252
-2.7E-5	0.02193
-2.75E-5	0.02149
-2.78E-5	0.02106
-2.85E-5	0.02072
-2.89E-5	0.02013
-2.92E-5	0.01967
-2.99E-5	0.01912
-3.03E-5	0.01864
-3.09E-5	0.01776
-3.15E-5	0.01676
-3.23E-5	0.01627
-3.25E-5	0.01553
-3.34E-5	0.01481
-3.38E-5	0.01428
-3.45E-5	0.01352
-3.61E-5	0.01259
-3.59E-5	0.01188
-3.73E-5	0.0111
-3.79E-5	0.01034
-3.87E-5	0.00986
-3.95E-5	0.00941
-4.05E-5	0.00889
-4.2E-5	0.00856
-4.25E-5	0.00829
-4.39E-5	0.00812
-4.54E-5	0.00796
-4.51E-5	0.00793
-4.72E-5	0.00787
-4.74E-5	0.00798
-4.9E-5	0.00804
-4.98E-5	0.00815
-5.13E-5	0.00829
-5.17E-5	0.00847
-5.31E-5	0.00866
-5.39E-5	0.00883
-5.44E-5	0.00904
-5.55E-5	0.00919
-5.61E-5	0.00934
-5.74E-5	0.00949
-5.79E-5	0.00974
-5.9E-5	0.00993
-5.97E-5	0.01008
-6.04E-5	0.01025
-6.13E-5	0.01038
-6.16E-5	0.01055
-6.27E-5	0.01071
-6.36E-5	0.01087
-6.45E-5	0.01097
-6.6E-5	0.01113
-6.54E-5	0.01117
-6.66E-5	0.01128
-6.71E-5	0.01142
-6.82E-5	0.01153
-6.91E-5	0.0116
-6.96E-5	0.01166
-7.03E-5	0.01176
-7.12E-5	0.0118
-7.2E-5	0.01182
-7.25E-5	0.01179
-7.33E-5	0.0118
-7.37E-5	0.01181
-7.49E-5	0.01187
-7.52E-5	0.01199
-7.64E-5	0.01208
-7.68E-5	0.01205
-7.79E-5	0.01215
-7.81E-5	0.01225
-7.88E-5	0.01228
-7.96E-5	0.01228
-8.07E-5	0.01237
-8.07E-5	0.01242
-8.19E-5	0.01251
-8.25E-5	0.01256
-8.27E-5	0.01257
-8.34E-5	0.01256
-8.46E-5	0.01264
-8.47E-5	0.01271
-8.62E-5	0.01277
-8.59E-5	0.01281
-8.66E-5	0.01289
-8.8E-5	0.01291
-8.83E-5	0.01303
-8.86E-5	0.01304
-8.98E-5	0.0131
-9.03E-5	0.01314
-9.09E-5	0.01309
-9.16E-5	0.0131
-9.25E-5	0.01322
-9.21E-5	0.01322
-9.38E-5	0.01325
-9.38E-5	0.01334
-9.46E-5	0.01337
-9.55E-5	0.01342
-9.62E-5	0.01344
-9.69E-5	0.01338
-9.72E-5	0.01339
-9.78E-5	0.01341
-9.84E-5	0.01346
-9.93E-5	0.01343
-9.97E-5	0.01335
-1.009E-4	0.01345
-1.015E-4	0.01343
-1.013E-4	0.01338
-1.023E-4	0.01341
-1.03E-4	0.01339
-1.034E-4	0.01338
-1.043E-4	0.01334
-1.053E-4	0.0134
-1.053E-4	0.01333
-1.06E-4	0.01325
-1.071E-4	0.01324
-1.072E-4	0.01329
-1.084E-4	0.01339
-1.087E-4	0.0133
-1.093E-4	0.01316
-1.101E-4	0.01303
-1.105E-4	0.01305
-1.113E-4	0.01295
-1.127E-4	0.01287
-1.13E-4	0.01294
-1.133E-4	0.01278
-1.144E-4	0.01267
-1.146E-4	0.01259
-1.156E-4	0.01252
-1.163E-4	0.01233
-1.167E-4	0.01222
-1.176E-4	0.01208
-1.186E-4	0.01201
-1.191E-4	0.01194
-1.197E-4	0.01186
-1.208E-4	0.01176
-1.214E-4	0.01167
-1.222E-4	0.01162
-1.229E-4	0.01157
-1.234E-4	0.01155
-1.245E-4	0.01148
-1.249E-4	0.01154
-1.257E-4	0.01154
-1.266E-4	0.01155
-1.268E-4	0.01154
-1.277E-4	0.01155
-1.286E-4	0.01161
-1.292E-4	0.01166
-1.299E-4	0.01166
-1.311E-4	0.01172
-1.315E-4	0.01175
-1.316E-4	0.01175
-1.329E-4	0.01182
-1.331E-4	0.01182
-1.343E-4	0.0118
-1.353E-4	0.01187
-1.359E-4	0.01189
-1.361E-4	0.01186
-1.376E-4	0.01187
-1.378E-4	0.01188
-1.387E-4	0.01193
-1.394E-4	0.01198
-1.398E-4	0.01192
-1.41E-4	0.01195
-1.413E-4	0.01193
-1.421E-4	0.01196
-1.43E-4	0.01203
-1.436E-4	0.01208
-1.44E-4	0.01207
-1.449E-4	0.01207
-1.455E-4	0.01211
-1.462E-4	0.0121
-1.476E-4	0.01212
-1.478E-4	0.01217
-1.48E-4	0.01224
-1.496E-4	0.01225
-1.492E-4	0.01217
-1.507E-4	0.01208
-1.513E-4	0.01211
-1.521E-4	0.01215
-1.525E-4	0.01215
-1.534E-4	0.01227
-1.543E-4	0.01225
-1.546E-4	0.01226
-1.558E-4	0.0122
-1.561E-4	0.01216
-1.572E-4	0.01216
-1.575E-4	0.01216
-1.582E-4	0.01217
-1.588E-4	0.01219
-1.596E-4	0.01212
-1.603E-4	0.01216
-1.608E-4	0.0122
-1.62E-4	0.01228
-1.621E-4	0.01223
-1.632E-4	0.0122
-1.638E-4	0.01226
-1.644E-4	0.01219
-1.652E-4	0.01222
-1.656E-4	0.01226
-1.668E-4	0.01225
-1.67E-4	0.01225
-1.683E-4	0.01227
-1.685E-4	0.01228
-1.692E-4	0.01233
-1.702E-4	0.01232
-1.702E-4	0.01228
-1.718E-4	0.01232
-1.723E-4	0.01237
-1.731E-4	0.01235
-1.733E-4	0.01231
-1.74E-4	0.01226
-1.747E-4	0.01221
-1.757E-4	0.01228
-1.766E-4	0.01233
-1.769E-4	0.01223
-1.781E-4	0.01225
-1.786E-4	0.0123
-1.787E-4	0.01228
-1.797E-4	0.01225
-1.804E-4	0.01224
