A	B
1.823E-4	0.01215
1.812E-4	0.0121
1.807E-4	0.01206
1.801E-4	0.01207
1.79E-4	0.01216
1.788E-4	0.01209
1.786E-4	0.01211
1.773E-4	0.01203
1.769E-4	0.012
1.759E-4	0.01197
1.753E-4	0.01203
1.747E-4	0.01205
1.737E-4	0.01204
1.731E-4	0.01208
1.727E-4	0.01206
1.72E-4	0.01208
1.71E-4	0.01214
1.708E-4	0.01211
1.693E-4	0.01198
1.689E-4	0.01199
1.691E-4	0.01198
1.675E-4	0.01202
1.666E-4	0.01201
1.661E-4	0.012
1.655E-4	0.01196
1.643E-4	0.01198
1.64E-4	0.012
1.634E-4	0.01204
1.624E-4	0.01202
1.62E-4	0.01193
1.606E-4	0.01188
1.608E-4	0.0119
1.598E-4	0.01189
1.591E-4	0.01188
1.586E-4	0.01186
1.578E-4	0.01184
1.57E-4	0.01187
1.563E-4	0.01186
1.557E-4	0.01186
1.544E-4	0.01185
1.543E-4	0.01185
1.535E-4	0.01183
1.522E-4	0.01182
1.52E-4	0.01173
1.514E-4	0.0117
1.504E-4	0.01172
1.497E-4	0.01171
1.49E-4	0.01172
1.479E-4	0.01169
1.477E-4	0.01162
1.468E-4	0.01164
1.46E-4	0.01166
1.455E-4	0.01163
1.44E-4	0.01156
1.439E-4	0.01154
1.426E-4	0.0115
1.424E-4	0.01143
1.417E-4	0.01145
1.409E-4	0.01148
1.404E-4	0.01149
1.389E-4	0.01147
1.395E-4	0.01142
1.375E-4	0.01136
1.376E-4	0.01133
1.366E-4	0.01126
1.359E-4	0.01122
1.348E-4	0.01121
1.343E-4	0.01116
1.335E-4	0.01111
1.325E-4	0.01117
1.32E-4	0.01121
1.312E-4	0.01121
1.303E-4	0.01122
1.3E-4	0.01122
1.284E-4	0.01129
1.282E-4	0.01138
1.271E-4	0.01146
1.268E-4	0.01166
1.263E-4	0.01172
1.25E-4	0.01175
1.245E-4	0.01187
1.235E-4	0.01202
1.232E-4	0.01227
1.221E-4	0.01239
1.219E-4	0.01248
1.211E-4	0.01255
1.202E-4	0.01262
1.199E-4	0.01268
1.189E-4	0.01276
1.184E-4	0.01295
1.179E-4	0.01298
1.17E-4	0.01302
1.167E-4	0.01306
1.161E-4	0.01309
1.151E-4	0.01318
1.146E-4	0.01318
1.143E-4	0.01313
1.129E-4	0.0132
1.13E-4	0.01314
1.122E-4	0.0132
1.115E-4	0.01333
1.106E-4	0.01331
1.099E-4	0.01325
1.096E-4	0.01325
1.089E-4	0.01331
1.084E-4	0.01333
1.071E-4	0.01335
1.069E-4	0.01333
1.064E-4	0.01341
1.057E-4	0.01344
1.052E-4	0.01336
1.038E-4	0.01331
1.033E-4	0.01335
1.028E-4	0.01329
1.021E-4	0.01335
1.019E-4	0.01341
1.012E-4	0.01331
1.003E-4	0.01323
9.95E-5	0.01319
9.96E-5	0.01316
9.8E-5	0.01315
9.79E-5	0.01309
9.74E-5	0.01306
9.62E-5	0.01307
9.6E-5	0.01301
9.49E-5	0.01291
9.46E-5	0.01291
9.36E-5	0.01279
9.32E-5	0.01267
9.26E-5	0.01267
9.17E-5	0.01264
9.09E-5	0.01256
9.04E-5	0.01248
8.95E-5	0.01242
8.87E-5	0.01225
8.83E-5	0.01211
8.76E-5	0.01204
8.68E-5	0.01198
8.62E-5	0.01188
8.5E-5	0.01183
8.46E-5	0.0118
8.42E-5	0.01165
8.3E-5	0.01146
8.28E-5	0.01137
8.15E-5	0.01124
8.09E-5	0.01113
7.97E-5	0.01102
7.9E-5	0.01085
7.8E-5	0.01074
7.8E-5	0.01061
7.73E-5	0.0105
7.56E-5	0.01034
7.53E-5	0.01021
7.4E-5	0.01006
7.35E-5	0.00989
7.2E-5	0.00972
7.17E-5	0.0094
6.98E-5	0.00911
6.95E-5	0.00874
6.89E-5	0.00831
6.65E-5	0.00795
6.65E-5	0.00746
6.44E-5	0.00688
6.29E-5	0.00631
6.12E-5	0.00587
5.96E-5	0.00544
5.82E-5	0.00515
5.68E-5	0.00498
5.46E-5	0.00477
5.33E-5	0.00464
5.19E-5	0.00461
4.91E-5	0.00473
4.89E-5	0.005
4.75E-5	0.00542
4.55E-5	0.00588
4.54E-5	0.00651
4.35E-5	0.0072
4.29E-5	0.00834
4.2E-5	0.00954
4.13E-5	0.0112
4.1E-5	0.01291
4.05E-5	0.01485
4.01E-5	0.01712
3.97E-5	0.0187
3.93E-5	0.02062
3.86E-5	0.02195
3.84E-5	0.02234
3.83E-5	0.02292
3.75E-5	0.02326
3.73E-5	0.02323
3.68E-5	0.02369
3.7E-5	0.0238
3.59E-5	0.02393
3.54E-5	0.02436
3.54E-5	0.02473
3.53E-5	0.02462
3.53E-5	0.02491
3.45E-5	0.02507
3.44E-5	0.02496
3.35E-5	0.02517
3.38E-5	0.02515
3.32E-5	0.02515
3.27E-5	0.0256
3.24E-5	0.02557
3.21E-5	0.02536
3.15E-5	0.0255
3.11E-5	0.02565
3.17E-5	0.02554
3.08E-5	0.0255
3.02E-5	0.02563
3.01E-5	0.02589
3.02E-5	0.02606
2.95E-5	0.02591
2.93E-5	0.02584
2.83E-5	0.02628
2.82E-5	0.02626
2.81E-5	0.02621
2.78E-5	0.02633
2.73E-5	0.02619
2.75E-5	0.02615
2.67E-5	0.02613
2.64E-5	0.02608
2.6E-5	0.0262
2.58E-5	0.0263
2.56E-5	0.02641
2.5E-5	0.02628
2.5E-5	0.02597
2.44E-5	0.02609
2.45E-5	0.02655
2.36E-5	0.02671
2.38E-5	0.02638
2.27E-5	0.02645
2.28E-5	0.02664
2.29E-5	0.02652
2.21E-5	0.02659
2.2E-5	0.02665
2.16E-5	0.02651
2.14E-5	0.0264
2.08E-5	0.02622
2.07E-5	0.02603
2.08E-5	0.02624
1.97E-5	0.02618
1.94E-5	0.02613
1.94E-5	0.02624
1.86E-5	0.02632
1.85E-5	0.0264
1.86E-5	0.02609
1.81E-5	0.02629
1.78E-5	0.02634
1.68E-5	0.02633
1.71E-5	0.02608
1.65E-5	0.02625
1.66E-5	0.02614
1.58E-5	0.02611
1.58E-5	0.0263
1.55E-5	0.02609
1.56E-5	0.026
1.46E-5	0.02609
1.45E-5	0.02629
1.38E-5	0.02626
1.39E-5	0.02614
1.35E-5	0.02607
1.28E-5	0.02591
1.26E-5	0.02589
1.23E-5	0.02578
1.2E-5	0.0255
1.16E-5	0.02529
1.14E-5	0.02527
1.12E-5	0.02533
1.07E-5	0.02505
1.02E-5	0.02516
9.5E-6	0.02515
9.6E-6	0.02497
9.1E-6	0.02482
9E-6	0.02468
8.9E-6	0.02434
8.5E-6	0.02419
7.8E-6	0.0239
7.1E-6	0.02363
7.3E-6	0.02346
6.9E-6	0.02317
6.3E-6	0.02293
6.6E-6	0.02272
5.7E-6	0.02257
5.2E-6	0.02237
4.7E-6	0.02253
4.6E-6	0.02256
3.8E-6	0.02268
3.7E-6	0.02306
3.6E-6	0.02345
2.6E-6	0.024
2.6E-6	0.02477
2.7E-6	0.02566
1.5E-6	0.02727
1.4E-6	0.02927
1.7E-6	0.03102
1.9E-6	0.03362
9E-7	0.0361
1E-6	0.03845
1E-6	0.04134
5E-7	0.04292
8E-7	0.04326
1E-6	0.04324
8E-7	0.04343
7E-7	0.04375
0	0.0443
-4E-7	0.0435
0	0.04131
-3E-7	0.03991
-6E-7	0.03782
-1.2E-6	0.03532
-1.5E-6	0.03228
-1E-6	0.02987
-1.7E-6	0.02798
-2.2E-6	0.02617
-2.5E-6	0.02519
-2.3E-6	0.0242
-3.7E-6	0.02319
-3.3E-6	0.02266
-3.9E-6	0.0224
-4.5E-6	0.02262
-4.5E-6	0.02268
-4.8E-6	0.02248
-5E-6	0.02251
-5.6E-6	0.02273
-6E-6	0.02303
-6.6E-6	0.02323
-6.8E-6	0.02341
-7.1E-6	0.02373
-7.4E-6	0.02429
-7.7E-6	0.0244
-8.3E-6	0.02435
-8.1E-6	0.02445
-8.9E-6	0.02463
-9.4E-6	0.02493
-9.6E-6	0.02515
-9.7E-6	0.02519
-1.02E-5	0.02511
-1.05E-5	0.02498
-1.09E-5	0.02507
-1.13E-5	0.02525
