A	B
3.248E-4	0.01285
3.243E-4	0.01286
3.237E-4	0.01281
3.23E-4	0.01283
3.222E-4	0.01281
3.212E-4	0.01285
3.208E-4	0.01289
3.199E-4	0.01294
3.197E-4	0.0129
3.189E-4	0.01278
3.174E-4	0.01273
3.174E-4	0.01279
3.165E-4	0.0129
3.164E-4	0.01287
3.147E-4	0.01288
3.144E-4	0.0128
3.14E-4	0.01284
3.13E-4	0.01283
3.129E-4	0.0128
3.114E-4	0.0128
3.113E-4	0.01284
3.108E-4	0.01281
3.098E-4	0.01278
3.093E-4	0.01272
3.089E-4	0.01283
3.087E-4	0.01288
3.072E-4	0.01284
3.069E-4	0.01275
3.057E-4	0.01271
3.05E-4	0.01269
3.045E-4	0.01277
3.039E-4	0.01278
3.037E-4	0.01281
3.026E-4	0.01272
3.02E-4	0.01265
3.007E-4	0.01269
3.004E-4	0.0127
3.005E-4	0.01275
2.993E-4	0.01277
2.988E-4	0.01282
2.977E-4	0.01287
2.974E-4	0.01284
2.965E-4	0.01285
2.955E-4	0.01281
2.95E-4	0.01279
2.944E-4	0.01282
2.943E-4	0.01284
2.933E-4	0.01281
2.929E-4	0.01273
2.916E-4	0.01269
2.911E-4	0.01274
2.902E-4	0.01282
2.899E-4	0.01285
2.889E-4	0.01279
2.885E-4	0.01279
2.878E-4	0.0128
2.872E-4	0.01283
2.865E-4	0.01289
2.857E-4	0.01288
2.857E-4	0.01281
2.848E-4	0.01277
2.839E-4	0.01273
2.829E-4	0.01277
2.825E-4	0.01282
2.823E-4	0.01276
2.816E-4	0.01267
2.806E-4	0.01264
2.798E-4	0.01262
2.791E-4	0.01268
2.785E-4	0.01272
2.779E-4	0.01272
2.777E-4	0.01271
2.765E-4	0.01266
2.762E-4	0.01258
2.75E-4	0.01267
2.743E-4	0.01276
2.746E-4	0.01286
2.73E-4	0.0129
2.726E-4	0.01284
2.717E-4	0.01273
2.712E-4	0.01267
2.705E-4	0.01263
2.699E-4	0.01265
2.696E-4	0.0127
2.679E-4	0.01275
2.677E-4	0.01269
2.669E-4	0.01266
2.662E-4	0.0127
2.661E-4	0.01272
2.65E-4	0.01269
2.648E-4	0.01265
2.631E-4	0.01263
2.63E-4	0.0126
2.619E-4	0.01257
2.615E-4	0.01261
2.607E-4	0.01268
2.603E-4	0.01263
2.598E-4	0.01255
2.587E-4	0.01255
2.587E-4	0.01264
2.576E-4	0.01264
2.57E-4	0.01258
2.561E-4	0.01252
2.553E-4	0.01249
2.546E-4	0.01243
2.534E-4	0.01244
2.536E-4	0.01251
2.531E-4	0.01258
2.522E-4	0.01255
2.504E-4	0.01245
2.506E-4	0.01242
2.502E-4	0.01246
2.492E-4	0.01252
2.487E-4	0.01256
2.48E-4	0.0125
2.47E-4	0.01238
2.459E-4	0.01236
2.457E-4	0.01234
2.448E-4	0.01236
2.442E-4	0.01239
2.439E-4	0.01236
2.431E-4	0.01229
2.423E-4	0.01221
2.41E-4	0.01216
2.407E-4	0.01218
2.403E-4	0.01222
2.392E-4	0.01219
2.387E-4	0.01211
2.373E-4	0.01202
2.371E-4	0.01198
2.361E-4	0.0119
2.358E-4	0.01185
2.353E-4	0.0118
2.345E-4	0.01174
2.334E-4	0.01156
