A	B
3.244E-4	0.01274
3.241E-4	0.01277
3.237E-4	0.01275
3.227E-4	0.01273
3.217E-4	0.01269
3.209E-4	0.01268
3.207E-4	0.01272
3.198E-4	0.01283
3.191E-4	0.01285
3.185E-4	0.01281
3.176E-4	0.01275
3.172E-4	0.01273
3.163E-4	0.01268
3.16E-4	0.01271
3.152E-4	0.01273
3.146E-4	0.01268
3.143E-4	0.0127
3.126E-4	0.01266
3.126E-4	0.01266
3.115E-4	0.0127
3.114E-4	0.01271
3.105E-4	0.01276
3.102E-4	0.01271
3.097E-4	0.01263
3.084E-4	0.0126
3.08E-4	0.01258
3.071E-4	0.01266
3.064E-4	0.01275
3.059E-4	0.0128
3.055E-4	0.01274
3.048E-4	0.01265
3.038E-4	0.01267
3.034E-4	0.01268
3.022E-4	0.01265
3.023E-4	0.01269
3.012E-4	0.01269
3.007E-4	0.01268
2.999E-4	0.01264
2.992E-4	0.01266
2.99E-4	0.01267
2.978E-4	0.01272
2.972E-4	0.0128
2.963E-4	0.01279
2.953E-4	0.01271
2.947E-4	0.01267
2.942E-4	0.01273
2.939E-4	0.01277
2.93E-4	0.01274
2.929E-4	0.01269
2.914E-4	0.01264
2.912E-4	0.01264
2.902E-4	0.01265
2.895E-4	0.01276
2.893E-4	0.01277
2.886E-4	0.01274
2.877E-4	0.01262
2.866E-4	0.01262
2.865E-4	0.01265
2.857E-4	0.01265
2.853E-4	0.01267
2.848E-4	0.01264
2.842E-4	0.0126
2.83E-4	0.0126
2.819E-4	0.01263
2.815E-4	0.01268
2.806E-4	0.0127
2.804E-4	0.01273
2.8E-4	0.01271
2.791E-4	0.01267
2.783E-4	0.01261
2.778E-4	0.01259
2.768E-4	0.01261
2.762E-4	0.01262
2.757E-4	0.01259
2.749E-4	0.01254
2.74E-4	0.01252
2.734E-4	0.01247
2.726E-4	0.01246
2.721E-4	0.01251
2.713E-4	0.01253
2.708E-4	0.01253
2.701E-4	0.01248
2.689E-4	0.01249
2.687E-4	0.0125
2.673E-4	0.01254
2.674E-4	0.01265
2.668E-4	0.01265
2.662E-4	0.01252
2.652E-4	0.01247
2.644E-4	0.01249
2.643E-4	0.01252
2.63E-4	0.01254
2.63E-4	0.01246
2.618E-4	0.01248
2.609E-4	0.01243
2.6E-4	0.01243
2.599E-4	0.01245
